63103   , -74327.4    , array([ 2.67401    ,  0.143999   ,  2.75743e-07,  7.04493e-27,  0.000586187])
63104   , -74327.5    , array([ 2.67669    ,  0.143999   ,  2.75743e-07,  7.04493e-27,  0.000586187])
63105   , -74331.8    , array([ 2.67401    ,  0.144143   ,  2.75743e-07,  7.04493e-27,  0.000586187])
63106   , -74327.4    , array([ 2.67401    ,  0.143999   ,  2.76019e-07,  7.04493e-27,  0.000586187])
63107   , -74327.4    , array([ 2.67401    ,  0.143999   ,  2.75743e-07,  7.05198e-27,  0.000586187])
63108   , -74322.8    , array([ 2.67401    ,  0.143999   ,  2.75743e-07,  7.04493e-27,  0.000586773])
63109   , -74327.4    , array([ 2.67401    ,  0.143999   ,  2.75743e-07,  7.04493e-27,  0.000586187])
63110   , -61802.8    , array([ 2.60687    ,  0.071494   ,  2.75743e-07,  7.04493e-27,  0.00121329 ])
63111   , -61802.8    , array([ 2.60687    ,  0.071494   ,  2.75743e-07,  7.04493e-27,  0.00121329 ])
63112   , -61803      , array([ 2.60948    ,  0.071494   ,  2.75743e-07,  7.04493e-27,  0.00121329 ])
63113   , -61817.2    , array([ 2.60687    ,  0.0715655  ,  2.75743e-07,  7.04493e-27,  0.00121329 ])
63114   , -61802.8    , array([ 2.60687    ,  0.071494   ,  2.76019e-07,  7.04493e-27,  0.00121329 ])
63115   , -61802.8    , array([ 2.60687    ,  0.071494   ,  2.75743e-07,  7.05198e-27,  0.00121329 ])
63116   , -61788.1    , array([ 2.60687    ,  0.071494   ,  2.75743e-07,  7.04493e-27,  0.0012145  ])
63117   , -170515     , array([ 2.35475    ,  0.00434421 ,  2.75743e-07,  7.04493e-27,  0.0222676  ])
63118   , -170515     , array([ 2.35475    ,  0.00434421 ,  2.75743e-07,  7.04493e-27,  0.0222676  ])
63119   , -170515     , array([ 2.3571     ,  0.00434421 ,  2.75743e-07,  7.04493e-27,  0.0222676  ])
63120   , -170331     , array([ 2.35475    ,  0.00434855 ,  2.75743e-07,  7.04493e-27,  0.0222676  ])
63121   , -170515     , array([ 2.35475    ,  0.00434421 ,  2.76019e-07,  7.04493e-27,  0.0222676  ])
63122   , -170515     , array([ 2.35475    ,  0.00434421 ,  2.75743e-07,  7.05198e-27,  0.0222676  ])
63123   , -170694     , array([ 2.35475    ,  0.00434421 ,  2.75743e-07,  7.04493e-27,  0.0222899  ])
63124   , -11335.2    , array([ 2.50588    ,  0.0240881  ,  2.75743e-07,  7.04493e-27,  0.00375684 ])
63125   , -11335.2    , array([ 2.50588    ,  0.0240881  ,  2.75743e-07,  7.04493e-27,  0.00375684 ])
63126   , -11335.3    , array([ 2.50839    ,  0.0240881  ,  2.75743e-07,  7.04493e-27,  0.00375684 ])
63127   , -11355.6    , array([ 2.50588    ,  0.0241122  ,  2.75743e-07,  7.04493e-27,  0.00375684 ])
63128   , -11335.2    , array([ 2.50588    ,  0.0240881  ,  2.76019e-07,  7.04493e-27,  0.00375684 ])
63129   , -11335.2    , array([ 2.50588    ,  0.0240881  ,  2.75743e-07,  7.05198e-27,  0.00375684 ])
63130   , -11314.6    , array([ 2.50588    ,  0.0240881  ,  2.75743e-07,  7.04493e-27,  0.0037606  ])
63131   , -4160.89    , array([ 2.45473    ,  0.013651   ,  2.75743e-07,  7.04493e-27,  0.00677741 ])
63132   , -4160.89    , array([ 2.45473    ,  0.013651   ,  2.75743e-07,  7.04493e-27,  0.00677741 ])
63133   , -4160.93    , array([ 2.45718    ,  0.013651   ,  2.75743e-07,  7.04493e-27,  0.00677741 ])
63134   , -4149.19    , array([ 2.45473    ,  0.0136646  ,  2.75743e-07,  7.04493e-27,  0.00677741 ])
63135   , -4160.89    , array([ 2.45473    ,  0.013651   ,  2.76019e-07,  7.04493e-27,  0.00677741 ])
63136   , -4160.89    , array([ 2.45473    ,  0.013651   ,  2.75743e-07,  7.05198e-27,  0.00677741 ])
63137   , -4171.98    , array([ 2.45473    ,  0.013651   ,  2.75743e-07,  7.04493e-27,  0.00678419 ])
63138   , -2292.42    , array([ 2.47287    ,  0.0167196  ,  2.75743e-07,  7.04493e-27,  0.00549001 ])
63139   , -2292.42    , array([ 2.47287    ,  0.0167196  ,  2.75743e-07,  7.04493e-27,  0.00549001 ])
63140   , -2292.47    , array([ 2.47535    ,  0.0167196  ,  2.75743e-07,  7.04493e-27,  0.00549001 ])
63141   , -2294.36    , array([ 2.47287    ,  0.0167363  ,  2.75743e-07,  7.04493e-27,  0.00549001 ])
63142   , -2292.42    , array([ 2.47287    ,  0.0167196  ,  2.76019e-07,  7.04493e-27,  0.00549001 ])
63143   , -2292.42    , array([ 2.47287    ,  0.0167196  ,  2.75743e-07,  7.05198e-27,  0.00549001 ])
63144   , -2290.16    , array([ 2.47287    ,  0.0167196  ,  2.75743e-07,  7.04493e-27,  0.00549551 ])
63152   , -2269.32    , array([ 2.49668    ,  0.0174267  ,  2.75743e-07,  7.04493e-27,  0.00574477 ])
63153   , -2269.32    , array([ 2.49668    ,  0.0174267  ,  2.75743e-07,  7.04493e-27,  0.00574477 ])
63154   , -2269.37    , array([ 2.49917    ,  0.0174267  ,  2.75743e-07,  7.04493e-27,  0.00574477 ])
63155   , -2271.16    , array([ 2.49668    ,  0.0174441  ,  2.75743e-07,  7.04493e-27,  0.00574477 ])
63156   , -2269.32    , array([ 2.49668    ,  0.0174267  ,  2.76019e-07,  7.04493e-27,  0.00574477 ])
63157   , -2269.32    , array([ 2.49668    ,  0.0174267  ,  2.75743e-07,  7.05198e-27,  0.00574477 ])
63158   , -2267.16    , array([ 2.49668    ,  0.0174267  ,  2.75743e-07,  7.04493e-27,  0.00575051 ])
63159   , -2241.06    , array([ 2.52615    ,  0.0183339  ,  2.75743e-07,  7.04493e-27,  0.00607306 ])
63160   , -2241.06    , array([ 2.52615    ,  0.0183339  ,  2.75743e-07,  7.04493e-27,  0.00607306 ])
63161   , -2241.11    , array([ 2.52868    ,  0.0183339  ,  2.75743e-07,  7.04493e-27,  0.00607306 ])
63162   , -2242.77    , array([ 2.52615    ,  0.0183522  ,  2.75743e-07,  7.04493e-27,  0.00607306 ])
63163   , -2241.06    , array([ 2.52615    ,  0.0183339  ,  2.76019e-07,  7.04493e-27,  0.00607306 ])
63164   , -2241.06    , array([ 2.52615    ,  0.0183339  ,  2.75743e-07,  7.05198e-27,  0.00607306 ])
63165   , -2239       , array([ 2.52615    ,  0.0183339  ,  2.75743e-07,  7.04493e-27,  0.00607913 ])
63173   , -2235.31    , array([ 2.53219    ,  0.0185241  ,  2.75743e-07,  7.04493e-27,  0.00614211 ])
63174   , -2235.31    , array([ 2.53219    ,  0.0185241  ,  2.75743e-07,  7.04493e-27,  0.00614211 ])
63175   , -2235.36    , array([ 2.53472    ,  0.0185241  ,  2.75743e-07,  7.04493e-27,  0.00614211 ])
63176   , -2237       , array([ 2.53219    ,  0.0185427  ,  2.75743e-07,  7.04493e-27,  0.00614211 ])
63177   , -2235.31    , array([ 2.53219    ,  0.0185241  ,  2.76019e-07,  7.04493e-27,  0.00614211 ])
63178   , -2235.31    , array([ 2.53219    ,  0.0185241  ,  2.75743e-07,  7.05198e-27,  0.00614211 ])
63179   , -2233.28    , array([ 2.53219    ,  0.0185241  ,  2.75743e-07,  7.04493e-27,  0.00614825 ])
63180   , -2228.28    , array([ 2.5396     ,  0.0187597  ,  2.75743e-07,  7.04493e-27,  0.00622768 ])
63181   , -2228.28    , array([ 2.5396     ,  0.0187597  ,  2.75743e-07,  7.04493e-27,  0.00622768 ])
63182   , -2228.34    , array([ 2.54214    ,  0.0187597  ,  2.75743e-07,  7.04493e-27,  0.00622768 ])
