67545   , -76988.8    , array([ 0.123265   ,  0.934005   ,  8.88167e-13,  8.90906e-26,  0.000280067])
67546   , -76990.5    , array([ 0.123389   ,  0.934005   ,  8.88167e-13,  8.90906e-26,  0.000280067])
67547   , -76989.1    , array([ 0.123265   ,  0.934939   ,  8.88167e-13,  8.90906e-26,  0.000280067])
67548   , -76988.8    , array([ 0.123265   ,  0.934005   ,  8.89055e-13,  8.90906e-26,  0.000280067])
67549   , -76988.8    , array([ 0.123265   ,  0.934005   ,  8.88167e-13,  8.91798e-26,  0.000280067])
67550   , -76986.8    , array([ 0.123265   ,  0.934005   ,  8.88167e-13,  8.90906e-26,  0.000280347])
67551   , -76988.8    , array([ 0.123265   ,  0.934005   ,  8.88167e-13,  8.90906e-26,  0.000280067])
67552   , -71807.7    , array([ 0.0650341  ,  0.821454   ,  8.88167e-13,  8.90906e-26,  0.000605603])
67553   , -71807.7    , array([ 0.0650341  ,  0.821454   ,  8.88167e-13,  8.90906e-26,  0.000605603])
67554   , -71813.2    , array([ 0.0650992  ,  0.821454   ,  8.88167e-13,  8.90906e-26,  0.000605603])
67555   , -71808.4    , array([ 0.0650341  ,  0.822276   ,  8.88167e-13,  8.90906e-26,  0.000605603])
67556   , -71807.7    , array([ 0.0650341  ,  0.821454   ,  8.89055e-13,  8.90906e-26,  0.000605603])
67557   , -71807.7    , array([ 0.0650341  ,  0.821454   ,  8.88167e-13,  8.91798e-26,  0.000605603])
67558   , -71801.3    , array([ 0.0650341  ,  0.821454   ,  8.88167e-13,  8.90906e-26,  0.000606209])
67559   , -237207     , array([ 0.00503896 ,  0.491495   ,  8.88167e-13,  8.90906e-26,  0.0132402  ])
67560   , -237207     , array([ 0.00503896 ,  0.491495   ,  8.88167e-13,  8.90906e-26,  0.0132402  ])
67561   , -237058     , array([ 0.005044   ,  0.491495   ,  8.88167e-13,  8.90906e-26,  0.0132402  ])
67562   , -237214     , array([ 0.00503896 ,  0.491987   ,  8.88167e-13,  8.90906e-26,  0.0132402  ])
67563   , -237207     , array([ 0.00503896 ,  0.491495   ,  8.89055e-13,  8.90906e-26,  0.0132402  ])
67564   , -237207     , array([ 0.00503896 ,  0.491495   ,  8.88167e-13,  8.91798e-26,  0.0132402  ])
