82565   , -79089.4    , array([ 1.24936    ,  0.0406933  ,  9.95622e-26,  0.412521   ,  3.14607e-11])
82566   , -79089.4    , array([ 1.25061    ,  0.0406933  ,  9.95622e-26,  0.412521   ,  3.14607e-11])
82567   , -79089.4    , array([ 1.24936    ,  0.0407341  ,  9.95622e-26,  0.412521   ,  3.14607e-11])
82568   , -79089.4    , array([ 1.24936    ,  0.0406933  ,  9.96618e-26,  0.412521   ,  3.14607e-11])
82569   , -79089.4    , array([ 1.24936    ,  0.0406933  ,  9.95622e-26,  0.412934   ,  3.14607e-11])
82570   , -79089.4    , array([ 1.24936    ,  0.0406933  ,  9.95622e-26,  0.412521   ,  3.14921e-11])
82571   , -79089.4    , array([ 1.24936    ,  0.0406933  ,  9.95622e-26,  0.412521   ,  3.14607e-11])
82572   , -79089.4    , array([ 1.24934    ,  0.0406564  ,  9.95622e-26,  0.412521   ,  3.14899e-11])
82573   , -79089.4    , array([ 1.24934    ,  0.0406564  ,  9.95622e-26,  0.412521   ,  3.14899e-11])
82574   , -79089.4    , array([ 1.25059    ,  0.0406564  ,  9.95622e-26,  0.412521   ,  3.14899e-11])
82575   , -79089.4    , array([ 1.24934    ,  0.0406971  ,  9.95622e-26,  0.412521   ,  3.14899e-11])
82576   , -79089.4    , array([ 1.24934    ,  0.0406564  ,  9.96618e-26,  0.412521   ,  3.14899e-11])
82577   , -79089.4    , array([ 1.24934    ,  0.0406564  ,  9.95622e-26,  0.412934   ,  3.14899e-11])
82578   , -79089.4    , array([ 1.24934    ,  0.0406564  ,  9.95622e-26,  0.412521   ,  3.15214e-11])
82579   , -79089.4    , array([ 1.24924    ,  0.0405091  ,  9.95622e-26,  0.412522   ,  3.16073e-11])
82580   , -79089.4    , array([ 1.24924    ,  0.0405091  ,  9.95622e-26,  0.412522   ,  3.16073e-11])
82581   , -79089.4    , array([ 1.25049    ,  0.0405091  ,  9.95622e-26,  0.412522   ,  3.16073e-11])
82582   , -79089.4    , array([ 1.24924    ,  0.0405496  ,  9.95622e-26,  0.412522   ,  3.16073e-11])
82583   , -79089.4    , array([ 1.24924    ,  0.0405091  ,  9.96618e-26,  0.412522   ,  3.16073e-11])
82584   , -79089.4    , array([ 1.24924    ,  0.0405091  ,  9.95622e-26,  0.412935   ,  3.16073e-11])
82585   , -79089.4    , array([ 1.24924    ,  0.0405091  ,  9.95622e-26,  0.412522   ,  3.16389e-11])
82586   , -79089.4    , array([ 1.24884    ,  0.039925   ,  9.95622e-26,  0.412525   ,  3.2081e-11 ])
82587   , -79089.4    , array([ 1.24884    ,  0.039925   ,  9.95622e-26,  0.412525   ,  3.2081e-11 ])
82588   , -79089.4    , array([ 1.25009    ,  0.039925   ,  9.95622e-26,  0.412525   ,  3.2081e-11 ])
82589   , -79089.4    , array([ 1.24884    ,  0.0399649  ,  9.95622e-26,  0.412525   ,  3.2081e-11 ])
82590   , -79089.4    , array([ 1.24884    ,  0.039925   ,  9.96618e-26,  0.412525   ,  3.2081e-11 ])
82591   , -79089.4    , array([ 1.24884    ,  0.039925   ,  9.95622e-26,  0.412937   ,  3.2081e-11 ])
82592   , -79089.4    , array([ 1.24884    ,  0.039925   ,  9.95622e-26,  0.412525   ,  3.21131e-11])
