91591   , -89514.3    , array([ 0.0783845  ,  7.51983    ,  2.12213e-24,  1.06972e-37,  0.0521241  ])
91592   , -89456.8    , array([ 0.0784629  ,  7.51983    ,  2.12213e-24,  1.06972e-37,  0.0521241  ])
91593   , -89516.4    , array([ 0.0783845  ,  7.52736    ,  2.12213e-24,  1.06972e-37,  0.0521241  ])
91594   , -89514.3    , array([ 0.0783845  ,  7.51983    ,  2.12426e-24,  1.06972e-37,  0.0521241  ])
91595   , -89514.3    , array([ 0.0783845  ,  7.51983    ,  2.12213e-24,  1.0708e-37 ,  0.0521241  ])
91596   , -89558      , array([ 0.0783845  ,  7.51983    ,  2.12213e-24,  1.06972e-37,  0.0521763  ])
91597   , -89514.3    , array([ 0.0783845  ,  7.51983    ,  2.12213e-24,  1.06972e-37,  0.0521241  ])
91598   , -49072.8    , array([ 0.175059   ,  7.30344    ,  2.12213e-24,  1.06972e-37,  0.0282859  ])
91599   , -49072.8    , array([ 0.175059   ,  7.30344    ,  2.12213e-24,  1.06972e-37,  0.0282859  ])
91600   , -49063.4    , array([ 0.175234   ,  7.30344    ,  2.12213e-24,  1.06972e-37,  0.0282859  ])
91601   , -49074.4    , array([ 0.175059   ,  7.31074    ,  2.12213e-24,  1.06972e-37,  0.0282859  ])
91602   , -49072.8    , array([ 0.175059   ,  7.30344    ,  2.12426e-24,  1.06972e-37,  0.0282859  ])
91603   , -49072.8    , array([ 0.175059   ,  7.30344    ,  2.12213e-24,  1.0708e-37 ,  0.0282859  ])
91604   , -49076.1    , array([ 0.175059   ,  7.30344    ,  2.12213e-24,  1.06972e-37,  0.0283142  ])
91612   , -49061.6    , array([ 0.175354   ,  7.29503    ,  2.12213e-24,  1.06972e-37,  0.0283431  ])
91613   , -49061.6    , array([ 0.175354   ,  7.29503    ,  2.12213e-24,  1.06972e-37,  0.0283431  ])
91614   , -49052.2    , array([ 0.17553    ,  7.29503    ,  2.12213e-24,  1.06972e-37,  0.0283431  ])
91615   , -49063.3    , array([ 0.175354   ,  7.30233    ,  2.12213e-24,  1.06972e-37,  0.0283431  ])
