94768   , -78639.9    , array([ 0.139071   ,  0.132146   ,  6.45716e-14,  1.31775e-06,  3.08273e-05])
94769   , -78640.1    , array([ 0.139211   ,  0.132146   ,  6.45716e-14,  1.31775e-06,  3.08273e-05])
94770   , -78640.2    , array([ 0.139071   ,  0.132278   ,  6.45716e-14,  1.31775e-06,  3.08273e-05])
94771   , -78639.9    , array([ 0.139071   ,  0.132146   ,  6.46362e-14,  1.31775e-06,  3.08273e-05])
94772   , -78639.9    , array([ 0.139071   ,  0.132146   ,  6.45716e-14,  1.31906e-06,  3.08273e-05])
94773   , -78639.5    , array([ 0.139071   ,  0.132146   ,  6.45716e-14,  1.31775e-06,  3.08581e-05])
94774   , -78639.9    , array([ 0.139071   ,  0.132146   ,  6.45716e-14,  1.31775e-06,  3.08273e-05])
94775   , -77538.3    , array([ 0.100994   ,  0.0803776  ,  6.45716e-14,  1.31775e-06,  6.99152e-05])
94776   , -77538.3    , array([ 0.100994   ,  0.0803776  ,  6.45716e-14,  1.31775e-06,  6.99152e-05])
94777   , -77538.8    , array([ 0.101095   ,  0.0803776  ,  6.45716e-14,  1.31775e-06,  6.99152e-05])
94778   , -77539.3    , array([ 0.100994   ,  0.080458   ,  6.45716e-14,  1.31775e-06,  6.99152e-05])
94779   , -77538.3    , array([ 0.100994   ,  0.0803776  ,  6.46362e-14,  1.31775e-06,  6.99152e-05])
94780   , -77538.3    , array([ 0.100994   ,  0.0803776  ,  6.45716e-14,  1.31906e-06,  6.99152e-05])
94781   , -77536.8    , array([ 0.100994   ,  0.0803776  ,  6.45716e-14,  1.31775e-06,  6.99851e-05])
94782   , -10887      , array([ 0.0280885  ,  0.0110017  ,  6.45716e-14,  1.31775e-06,  0.00184977 ])
94783   , -10887      , array([ 0.0280885  ,  0.0110017  ,  6.45716e-14,  1.31775e-06,  0.00184977 ])
94784   , -10882.5    , array([ 0.0281166  ,  0.0110017  ,  6.45716e-14,  1.31775e-06,  0.00184977 ])
94785   , -10901.9    , array([ 0.0280885  ,  0.0110128  ,  6.45716e-14,  1.31775e-06,  0.00184977 ])
