97580   , -68015.5    , array([ 0.114591   ,  0.507227   ,  6.62292e-22,  2.80258e-84,  0.00141945 ])
97581   , -68022      , array([ 0.114705   ,  0.507227   ,  6.62292e-22,  2.80258e-84,  0.00141945 ])
97582   , -68018.1    , array([ 0.114591   ,  0.507735   ,  6.62292e-22,  2.80258e-84,  0.00141945 ])
97583   , -68015.5    , array([ 0.114591   ,  0.507227   ,  6.62954e-22,  2.80258e-84,  0.00141945 ])
97584   , -68015.5    , array([ 0.114591   ,  0.507227   ,  6.62292e-22,  2.80538e-84,  0.00141945 ])
97585   , -68006.3    , array([ 0.114591   ,  0.507227   ,  6.62292e-22,  2.80258e-84,  0.00142087 ])
97586   , -68015.5    , array([ 0.114591   ,  0.507227   ,  6.62292e-22,  2.80258e-84,  0.00141945 ])
97587   , -52649      , array([ 0.0649964  ,  0.403299   ,  6.62292e-22,  2.80258e-84,  0.00317089 ])
97588   , -52649      , array([ 0.0649964  ,  0.403299   ,  6.62292e-22,  2.80258e-84,  0.00317089 ])
97589   , -52656.6    , array([ 0.0650614  ,  0.403299   ,  6.62292e-22,  2.80258e-84,  0.00317089 ])
97590   , -52653.9    , array([ 0.0649964  ,  0.403702   ,  6.62292e-22,  2.80258e-84,  0.00317089 ])
97591   , -52649      , array([ 0.0649964  ,  0.403299   ,  6.62954e-22,  2.80258e-84,  0.00317089 ])
97592   , -52649      , array([ 0.0649964  ,  0.403299   ,  6.62292e-22,  2.80538e-84,  0.00317089 ])
97593   , -52635.9    , array([ 0.0649964  ,  0.403299   ,  6.62292e-22,  2.80258e-84,  0.00317407 ])
97594   , -568309     , array([ 0.00672745 ,  0.161185   ,  6.62292e-22,  2.80258e-84,  0.0789634  ])
97595   , -568309     , array([ 0.00672745 ,  0.161185   ,  6.62292e-22,  2.80258e-84,  0.0789634  ])
97596   , -567827     , array([ 0.00673418 ,  0.161185   ,  6.62292e-22,  2.80258e-84,  0.0789634  ])
97597   , -568318     , array([ 0.00672745 ,  0.161346   ,  6.62292e-22,  2.80258e-84,  0.0789634  ])
97598   , -568309     , array([ 0.00672745 ,  0.161185   ,  6.62954e-22,  2.80258e-84,  0.0789634  ])
97599   , -568309     , array([ 0.00672745 ,  0.161185   ,  6.62292e-22,  2.80538e-84,  0.0789634  ])
97600   , -568760     , array([ 0.00672745 ,  0.161185   ,  6.62292e-22,  2.80258e-84,  0.0790424  ])
97601   , -49417.3    , array([ 0.037388   ,  0.322492   ,  6.62292e-22,  2.80258e-84,  0.00694374 ])
97602   , -49417.3    , array([ 0.037388   ,  0.322492   ,  6.62292e-22,  2.80258e-84,  0.00694374 ])
97603   , -49397.4    , array([ 0.0374254  ,  0.322492   ,  6.62292e-22,  2.80258e-84,  0.00694374 ])
