111760  , -79089.4    , array([ 0.0730757  ,  0.103754   ,  1.83911e-17,  1.89583e-10,  2.37425e-12])
111761  , -79089.4    , array([ 0.0731488  ,  0.103754   ,  1.83911e-17,  1.89583e-10,  2.37425e-12])
111762  , -79089.4    , array([ 0.0730757  ,  0.103858   ,  1.83911e-17,  1.89583e-10,  2.37425e-12])
111763  , -79089.4    , array([ 0.0730757  ,  0.103754   ,  1.84095e-17,  1.89583e-10,  2.37425e-12])
111764  , -79089.4    , array([ 0.0730757  ,  0.103754   ,  1.83911e-17,  1.89773e-10,  2.37425e-12])
111765  , -79089.4    , array([ 0.0730757  ,  0.103754   ,  1.83911e-17,  1.89583e-10,  2.37663e-12])
111766  , -79089.4    , array([ 0.0730757  ,  0.103754   ,  1.83911e-17,  1.89583e-10,  2.37425e-12])
111767  , -79089.4    , array([ 0.0730738  ,  0.103751   ,  1.83911e-17,  1.89583e-10,  2.37438e-12])
111768  , -79089.4    , array([ 0.0730738  ,  0.103751   ,  1.83911e-17,  1.89583e-10,  2.37438e-12])
111769  , -79089.4    , array([ 0.073147   ,  0.103751   ,  1.83911e-17,  1.89583e-10,  2.37438e-12])
111770  , -79089.4    , array([ 0.0730738  ,  0.103855   ,  1.83911e-17,  1.89583e-10,  2.37438e-12])
111771  , -79089.4    , array([ 0.0730738  ,  0.103751   ,  1.84095e-17,  1.89583e-10,  2.37438e-12])
111772  , -79089.4    , array([ 0.0730738  ,  0.103751   ,  1.83911e-17,  1.89773e-10,  2.37438e-12])
111773  , -79089.4    , array([ 0.0730738  ,  0.103751   ,  1.83911e-17,  1.89583e-10,  2.37675e-12])
111774  , -79089.4    , array([ 0.0730663  ,  0.10374    ,  1.83911e-17,  1.89583e-10,  2.37488e-12])
111775  , -79089.4    , array([ 0.0730663  ,  0.10374    ,  1.83911e-17,  1.89583e-10,  2.37488e-12])
111776  , -79089.4    , array([ 0.0731394  ,  0.10374    ,  1.83911e-17,  1.89583e-10,  2.37488e-12])
111777  , -79089.4    , array([ 0.0730663  ,  0.103844   ,  1.83911e-17,  1.89583e-10,  2.37488e-12])
111778  , -79089.4    , array([ 0.0730663  ,  0.10374    ,  1.84095e-17,  1.89583e-10,  2.37488e-12])
111779  , -79089.4    , array([ 0.0730663  ,  0.10374    ,  1.83911e-17,  1.89773e-10,  2.37488e-12])
111780  , -79089.4    , array([ 0.0730663  ,  0.10374    ,  1.83911e-17,  1.89583e-10,  2.37726e-12])
111781  , -79089.4    , array([ 0.073036   ,  0.103696   ,  1.83911e-17,  1.89583e-10,  2.37689e-12])
111782  , -79089.4    , array([ 0.073036   ,  0.103696   ,  1.83911e-17,  1.89583e-10,  2.37689e-12])
111783  , -79089.4    , array([ 0.0731091  ,  0.103696   ,  1.83911e-17,  1.89583e-10,  2.37689e-12])
111784  , -79089.4    , array([ 0.073036   ,  0.103799   ,  1.83911e-17,  1.89583e-10,  2.37689e-12])
111785  , -79089.4    , array([ 0.073036   ,  0.103696   ,  1.84095e-17,  1.89583e-10,  2.37689e-12])
111786  , -79089.4    , array([ 0.073036   ,  0.103696   ,  1.83911e-17,  1.89773e-10,  2.37689e-12])
111787  , -79089.4    , array([ 0.073036   ,  0.103696   ,  1.83911e-17,  1.89583e-10,  2.37927e-12])
111788  , -79089.4    , array([ 0.0729151  ,  0.103517   ,  1.83911e-17,  1.89583e-10,  2.38496e-12])
111789  , -79089.4    , array([ 0.0729151  ,  0.103517   ,  1.83911e-17,  1.89583e-10,  2.38496e-12])
111790  , -79089.4    , array([ 0.0729881  ,  0.103517   ,  1.83911e-17,  1.89583e-10,  2.38496e-12])
111791  , -79089.4    , array([ 0.0729151  ,  0.103621   ,  1.83911e-17,  1.89583e-10,  2.38496e-12])
111792  , -79089.4    , array([ 0.0729151  ,  0.103517   ,  1.84095e-17,  1.89583e-10,  2.38496e-12])
111793  , -79089.4    , array([ 0.0729151  ,  0.103517   ,  1.83911e-17,  1.89773e-10,  2.38496e-12])
111794  , -79089.4    , array([ 0.0729151  ,  0.103517   ,  1.83911e-17,  1.89583e-10,  2.38735e-12])
111795  , -79089.4    , array([ 0.0724335  ,  0.102808   ,  1.83911e-17,  1.89583e-10,  2.4175e-12 ])
111796  , -79089.4    , array([ 0.0724335  ,  0.102808   ,  1.83911e-17,  1.89583e-10,  2.4175e-12 ])
111797  , -79089.4    , array([ 0.072506   ,  0.102808   ,  1.83911e-17,  1.89583e-10,  2.4175e-12 ])
111798  , -79089.4    , array([ 0.0724335  ,  0.102911   ,  1.83911e-17,  1.89583e-10,  2.4175e-12 ])
111799  , -79089.4    , array([ 0.0724335  ,  0.102808   ,  1.84095e-17,  1.89583e-10,  2.4175e-12 ])
111800  , -79089.4    , array([ 0.0724335  ,  0.102808   ,  1.83911e-17,  1.89773e-10,  2.4175e-12 ])
111801  , -79089.4    , array([ 0.0724335  ,  0.102808   ,  1.83911e-17,  1.89583e-10,  2.41992e-12])
111802  , -79089.4    , array([ 0.0705386  ,  0.100019   ,  1.83911e-17,  1.89583e-10,  2.55217e-12])
111803  , -79089.4    , array([ 0.0705386  ,  0.100019   ,  1.83911e-17,  1.89583e-10,  2.55217e-12])
111804  , -79089.4    , array([ 0.0706091  ,  0.100019   ,  1.83911e-17,  1.89583e-10,  2.55217e-12])
111805  , -79089.4    , array([ 0.0705386  ,  0.100119   ,  1.83911e-17,  1.89583e-10,  2.55217e-12])
111806  , -79089.4    , array([ 0.0705386  ,  0.100019   ,  1.84095e-17,  1.89583e-10,  2.55217e-12])
111807  , -79089.4    , array([ 0.0705386  ,  0.100019   ,  1.83911e-17,  1.89773e-10,  2.55217e-12])
111808  , -79089.4    , array([ 0.0705386  ,  0.100019   ,  1.83911e-17,  1.89583e-10,  2.55473e-12])
111809  , -79089.4    , array([ 0.0634418  ,  0.0895973  ,  1.83911e-17,  1.89583e-10,  3.17018e-12])
111810  , -79089.4    , array([ 0.0634418  ,  0.0895973  ,  1.83911e-17,  1.89583e-10,  3.17018e-12])
111811  , -79089.4    , array([ 0.0635053  ,  0.0895973  ,  1.83911e-17,  1.89583e-10,  3.17018e-12])
