157739  , -79088      , array([ 0.867778   ,  0.795121   ,  1.20465e-20,  2.26894e-39,  5.83758e-07])
157740  , -79088      , array([ 0.868646   ,  0.795121   ,  1.20465e-20,  2.26894e-39,  5.83758e-07])
157741  , -79088      , array([ 0.867778   ,  0.795916   ,  1.20465e-20,  2.26894e-39,  5.83758e-07])
157742  , -79088      , array([ 0.867778   ,  0.795121   ,  1.20585e-20,  2.26894e-39,  5.83758e-07])
157743  , -79088      , array([ 0.867778   ,  0.795121   ,  1.20465e-20,  2.27121e-39,  5.83758e-07])
157744  , -79088      , array([ 0.867778   ,  0.795121   ,  1.20465e-20,  2.26894e-39,  5.84342e-07])
157745  , -79088      , array([ 0.867778   ,  0.795121   ,  1.20465e-20,  2.26894e-39,  5.83758e-07])
157746  , -79084.5    , array([ 0.635166   ,  0.481755   ,  1.20465e-20,  2.26894e-39,  1.32483e-06])
157747  , -79084.5    , array([ 0.635166   ,  0.481755   ,  1.20465e-20,  2.26894e-39,  1.32483e-06])
157748  , -79084.5    , array([ 0.635802   ,  0.481755   ,  1.20465e-20,  2.26894e-39,  1.32483e-06])
157749  , -79084.5    , array([ 0.635166   ,  0.482237   ,  1.20465e-20,  2.26894e-39,  1.32483e-06])
157750  , -79084.5    , array([ 0.635166   ,  0.481755   ,  1.20585e-20,  2.26894e-39,  1.32483e-06])
157751  , -79084.5    , array([ 0.635166   ,  0.481755   ,  1.20465e-20,  2.27121e-39,  1.32483e-06])
157752  , -79084.5    , array([ 0.635166   ,  0.481755   ,  1.20465e-20,  2.26894e-39,  1.32616e-06])
157753  , -78304.6    , array([ 0.182307   ,  0.0649232  ,  1.20465e-20,  2.26894e-39,  3.51454e-05])
157754  , -78304.6    , array([ 0.182307   ,  0.0649232  ,  1.20465e-20,  2.26894e-39,  3.51454e-05])
157755  , -78304.7    , array([ 0.182489   ,  0.0649232  ,  1.20465e-20,  2.26894e-39,  3.51454e-05])
157756  , -78305.2    , array([ 0.182307   ,  0.0649882  ,  1.20465e-20,  2.26894e-39,  3.51454e-05])
157757  , -78304.6    , array([ 0.182307   ,  0.0649232  ,  1.20585e-20,  2.26894e-39,  3.51454e-05])
157758  , -78304.6    , array([ 0.182307   ,  0.0649232  ,  1.20465e-20,  2.27121e-39,  3.51454e-05])
157759  , -78303.8    , array([ 0.182307   ,  0.0649232  ,  1.20465e-20,  2.26894e-39,  3.51806e-05])
157767  , -78304.1    , array([ 0.182282   ,  0.0649093  ,  1.20465e-20,  2.26894e-39,  3.51577e-05])
157768  , -78304.1    , array([ 0.182282   ,  0.0649093  ,  1.20465e-20,  2.26894e-39,  3.51577e-05])
157769  , -78304.3    , array([ 0.182465   ,  0.0649093  ,  1.20465e-20,  2.26894e-39,  3.51577e-05])
157770  , -78304.8    , array([ 0.182282   ,  0.0649743  ,  1.20465e-20,  2.26894e-39,  3.51577e-05])
157771  , -78304.1    , array([ 0.182282   ,  0.0649093  ,  1.20585e-20,  2.26894e-39,  3.51577e-05])
157772  , -78304.1    , array([ 0.182282   ,  0.0649093  ,  1.20465e-20,  2.27121e-39,  3.51577e-05])
157773  , -78303.4    , array([ 0.182282   ,  0.0649093  ,  1.20465e-20,  2.26894e-39,  3.51929e-05])
157774  , -78303.7    , array([ 0.182258   ,  0.0648954  ,  1.20465e-20,  2.26894e-39,  3.517e-05  ])
157775  , -78303.7    , array([ 0.182258   ,  0.0648954  ,  1.20465e-20,  2.26894e-39,  3.517e-05  ])
157776  , -78303.9    , array([ 0.18244    ,  0.0648954  ,  1.20465e-20,  2.26894e-39,  3.517e-05  ])
157777  , -78304.3    , array([ 0.182258   ,  0.0649604  ,  1.20465e-20,  2.26894e-39,  3.517e-05  ])
157778  , -78303.7    , array([ 0.182258   ,  0.0648954  ,  1.20585e-20,  2.26894e-39,  3.517e-05  ])
157779  , -78303.7    , array([ 0.182258   ,  0.0648954  ,  1.20465e-20,  2.27121e-39,  3.517e-05  ])
157780  , -78302.9    , array([ 0.182258   ,  0.0648954  ,  1.20465e-20,  2.26894e-39,  3.52052e-05])
157781  , -810091     , array([ 0.0150167  ,  0.00117884 ,  1.20465e-20,  2.26894e-39,  0.0247422  ])
157782  , -810091     , array([ 0.0150167  ,  0.00117884 ,  1.20465e-20,  2.26894e-39,  0.0247422  ])
157783  , -810003     , array([ 0.0150317  ,  0.00117884 ,  1.20465e-20,  2.26894e-39,  0.0247422  ])
157784  , -809356     , array([ 0.0150167  ,  0.00118002 ,  1.20465e-20,  2.26894e-39,  0.0247422  ])
157785  , -810091     , array([ 0.0150167  ,  0.00117884 ,  1.20585e-20,  2.26894e-39,  0.0247422  ])
157786  , -810091     , array([ 0.0150167  ,  0.00117884 ,  1.20465e-20,  2.27121e-39,  0.0247422  ])
157787  , -810899     , array([ 0.0150167  ,  0.00117884 ,  1.20465e-20,  2.26894e-39,  0.024767   ])
157788  , -63833.2    , array([ 0.085958   ,  0.0194139  ,  1.20465e-20,  2.26894e-39,  0.000253172])
157789  , -63833.2    , array([ 0.085958   ,  0.0194139  ,  1.20465e-20,  2.26894e-39,  0.000253172])
157790  , -63834.8    , array([ 0.086044   ,  0.0194139  ,  1.20465e-20,  2.26894e-39,  0.000253172])
157791  , -63844.7    , array([ 0.085958   ,  0.0194334  ,  1.20465e-20,  2.26894e-39,  0.000253172])
157792  , -63833.2    , array([ 0.085958   ,  0.0194139  ,  1.20585e-20,  2.26894e-39,  0.000253172])
157793  , -63833.2    , array([ 0.085958   ,  0.0194139  ,  1.20465e-20,  2.27121e-39,  0.000253172])
157794  , -63820      , array([ 0.085958   ,  0.0194139  ,  1.20465e-20,  2.26894e-39,  0.000253425])
157795  , -16094.8    , array([ 0.0329092  ,  0.00415514 ,  1.20465e-20,  2.26894e-39,  0.00315156 ])
157796  , -16094.8    , array([ 0.0329092  ,  0.00415514 ,  1.20465e-20,  2.26894e-39,  0.00315156 ])
157797  , -16088.8    , array([ 0.0329421  ,  0.00415514 ,  1.20465e-20,  2.26894e-39,  0.00315156 ])
157798  , -16069.7    , array([ 0.0329092  ,  0.0041593  ,  1.20465e-20,  2.26894e-39,  0.00315156 ])
157799  , -16094.8    , array([ 0.0329092  ,  0.00415514 ,  1.20585e-20,  2.26894e-39,  0.00315156 ])
157800  , -16094.8    , array([ 0.0329092  ,  0.00415514 ,  1.20465e-20,  2.27121e-39,  0.00315156 ])
157801  , -16125.4    , array([ 0.0329092  ,  0.00415514 ,  1.20465e-20,  2.26894e-39,  0.00315471 ])
157802  , -40641.6    , array([ 0.0643454  ,  0.0121946  ,  1.20465e-20,  2.26894e-39,  0.000541664])
157803  , -40641.6    , array([ 0.0643454  ,  0.0121946  ,  1.20465e-20,  2.26894e-39,  0.000541664])
157804  , -40643.9    , array([ 0.0644098  ,  0.0121946  ,  1.20465e-20,  2.26894e-39,  0.000541664])
157805  , -40664.1    , array([ 0.0643454  ,  0.0122068  ,  1.20465e-20,  2.26894e-39,  0.000541664])
157806  , -40641.6    , array([ 0.0643454  ,  0.0121946  ,  1.20585e-20,  2.26894e-39,  0.000541664])
157807  , -40641.6    , array([ 0.0643454  ,  0.0121946  ,  1.20465e-20,  2.27121e-39,  0.000541664])
157808  , -40616.8    , array([ 0.0643454  ,  0.0121946  ,  1.20465e-20,  2.26894e-39,  0.000542206])
157809  , -3654.74    , array([ 0.0399983  ,  0.00568365 ,  1.20465e-20,  2.26894e-39,  0.00188803 ])
157810  , -3654.74    , array([ 0.0399983  ,  0.00568365 ,  1.20465e-20,  2.26894e-39,  0.00188803 ])
157811  , -3652.08    , array([ 0.0400383  ,  0.00568365 ,  1.20465e-20,  2.26894e-39,  0.00188803 ])
157812  , -3655.67    , array([ 0.0399983  ,  0.00568934 ,  1.20465e-20,  2.26894e-39,  0.00188803 ])
157813  , -3654.74    , array([ 0.0399983  ,  0.00568365 ,  1.20585e-20,  2.26894e-39,  0.00188803 ])
157814  , -3654.74    , array([ 0.0399983  ,  0.00568365 ,  1.20465e-20,  2.27121e-39,  0.00188803 ])
157815  , -3656.32    , array([ 0.0399983  ,  0.00568365 ,  1.20465e-20,  2.26894e-39,  0.00188992 ])
157816  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.26894e-39,  0.00184621 ])
157817  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.26894e-39,  0.00184621 ])
157818  , -3627.17    , array([ 0.0403812  ,  0.00576202 ,  1.20465e-20,  2.26894e-39,  0.00184621 ])
157819  , -3631.62    , array([ 0.0403409  ,  0.00576779 ,  1.20465e-20,  2.26894e-39,  0.00184621 ])
157820  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20585e-20,  2.26894e-39,  0.00184621 ])
157821  , -3629.7     , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.27121e-39,  0.00184621 ])
157822  , -3630.15    , array([ 0.0403409  ,  0.00576202 ,  1.20465e-20,  2.26894e-39,  0.00184806 ])
157823  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157824  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157825  , -16009      , array([ 0.0509995  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157826  , -16029.7    , array([ 0.0509485  ,  0.00839083 ,  1.20465e-20,  2.26894e-39,  0.00100001 ])
157827  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20585e-20,  2.26894e-39,  0.00100001 ])
157828  , -16008.2    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.27121e-39,  0.00100001 ])
157829  , -15985.8    , array([ 0.0509485  ,  0.00838244 ,  1.20465e-20,  2.26894e-39,  0.00100101 ])
157830  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157831  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157832  , -3626.87    , array([ 0.040425   ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157833  , -3631.42    , array([ 0.0403846  ,  0.00577782 ,  1.20465e-20,  2.26894e-39,  0.00184097 ])
157834  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20585e-20,  2.26894e-39,  0.00184097 ])
157835  , -3629.37    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.27121e-39,  0.00184097 ])
157836  , -3629.68    , array([ 0.0403846  ,  0.00577205 ,  1.20465e-20,  2.26894e-39,  0.00184281 ])
157837  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157838  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157839  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157840  , -3631.43    , array([ 0.0403862  ,  0.0057782  ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157841  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157842  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157843  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157858  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
