188474  , -63668.5    , array([ 0.0508471  ,  0.709535   ,  7.62624e-67,  5.25945e-68,  0.0181854  ])
188475  , -63628      , array([ 0.050898   ,  0.709535   ,  7.62624e-67,  5.25945e-68,  0.0181854  ])
188476  , -63676.2    , array([ 0.0508471  ,  0.710245   ,  7.62624e-67,  5.25945e-68,  0.0181854  ])
188477  , -63668.5    , array([ 0.0508471  ,  0.709535   ,  7.63387e-67,  5.25945e-68,  0.0181854  ])
188478  , -63668.5    , array([ 0.0508471  ,  0.709535   ,  7.62624e-67,  5.26471e-68,  0.0181854  ])
188479  , -63694.7    , array([ 0.0508471  ,  0.709535   ,  7.62624e-67,  5.25945e-68,  0.0182036  ])
188480  , -63668.5    , array([ 0.0508471  ,  0.709535   ,  7.62624e-67,  5.25945e-68,  0.0181854  ])
188481  , -43688.8    , array([ 0.117612   ,  0.606106   ,  7.62624e-67,  5.25945e-68,  0.0105928  ])
188482  , -43688.8    , array([ 0.117612   ,  0.606106   ,  7.62624e-67,  5.25945e-68,  0.0105928  ])
188483  , -43688.9    , array([ 0.11773    ,  0.606106   ,  7.62624e-67,  5.25945e-68,  0.0105928  ])
188484  , -43696.6    , array([ 0.117612   ,  0.606712   ,  7.62624e-67,  5.25945e-68,  0.0105928  ])
188485  , -43688.8    , array([ 0.117612   ,  0.606106   ,  7.63387e-67,  5.25945e-68,  0.0105928  ])
188486  , -43688.8    , array([ 0.117612   ,  0.606106   ,  7.62624e-67,  5.26471e-68,  0.0105928  ])
188487  , -43679.2    , array([ 0.117612   ,  0.606106   ,  7.62624e-67,  5.25945e-68,  0.0106034  ])
188488  , -56731.5    , array([ 0.65492    ,  0.0363283  ,  7.62624e-67,  5.25945e-68,  0.0738803  ])
188489  , -56731.5    , array([ 0.65492    ,  0.0363283  ,  7.62624e-67,  5.25945e-68,  0.0738803  ])
188490  , -56728.2    , array([ 0.655575   ,  0.0363283  ,  7.62624e-67,  5.25945e-68,  0.0738803  ])
188491  , -56659.5    , array([ 0.65492    ,  0.0363646  ,  7.62624e-67,  5.25945e-68,  0.0738803  ])
188492  , -56731.5    , array([ 0.65492    ,  0.0363283  ,  7.63387e-67,  5.25945e-68,  0.0738803  ])
188493  , -56731.5    , array([ 0.65492    ,  0.0363283  ,  7.62624e-67,  5.26471e-68,  0.0738803  ])
188494  , -56805.5    , array([ 0.65492    ,  0.0363283  ,  7.62624e-67,  5.25945e-68,  0.0739542  ])
188495  , -10229.7    , array([ 0.276186   ,  0.149579   ,  7.62624e-67,  5.25945e-68,  0.027821   ])
188496  , -10229.7    , array([ 0.276186   ,  0.149579   ,  7.62624e-67,  5.25945e-68,  0.027821   ])
188497  , -10222.1    , array([ 0.276462   ,  0.149579   ,  7.62624e-67,  5.25945e-68,  0.027821   ])
188498  , -10242.4    , array([ 0.276186   ,  0.149728   ,  7.62624e-67,  5.25945e-68,  0.027821   ])
188499  , -10229.7    , array([ 0.276186   ,  0.149579   ,  7.63387e-67,  5.25945e-68,  0.027821   ])
188500  , -10229.7    , array([ 0.276186   ,  0.149579   ,  7.62624e-67,  5.26471e-68,  0.027821   ])
188501  , -10223.4    , array([ 0.276186   ,  0.149579   ,  7.62624e-67,  5.25945e-68,  0.0278489  ])
188502  , -5498.77    , array([ 0.358048   ,  0.0977425  ,  7.62624e-67,  5.25945e-68,  0.037316   ])
188503  , -5498.77    , array([ 0.358048   ,  0.0977425  ,  7.62624e-67,  5.25945e-68,  0.037316   ])
188504  , -5491.35    , array([ 0.358406   ,  0.0977425  ,  7.62624e-67,  5.25945e-68,  0.037316   ])
188505  , -5497.45    , array([ 0.358048   ,  0.0978403  ,  7.62624e-67,  5.25945e-68,  0.037316   ])
188506  , -5498.77    , array([ 0.358048   ,  0.0977425  ,  7.63387e-67,  5.25945e-68,  0.037316   ])
188507  , -5498.77    , array([ 0.358048   ,  0.0977425  ,  7.62624e-67,  5.26471e-68,  0.037316   ])
188508  , -5506.56    , array([ 0.358048   ,  0.0977425  ,  7.62624e-67,  5.25945e-68,  0.0373533  ])
188516  , -5497.8     , array([ 0.359017   ,  0.0981029  ,  7.62624e-67,  5.25945e-68,  0.0374313  ])
188517  , -5497.8     , array([ 0.359017   ,  0.0981029  ,  7.62624e-67,  5.25945e-68,  0.0374313  ])
