199794  , -79089.4    , array([ 0.488012   ,  0.0456825  ,  1.85511e-14,  0.00273265 ,  3.31238e-09])
199795  , -79089.4    , array([ 0.4885     ,  0.0456825  ,  1.85511e-14,  0.00273265 ,  3.31238e-09])
199796  , -79089.4    , array([ 0.488012   ,  0.0457282  ,  1.85511e-14,  0.00273265 ,  3.31238e-09])
199797  , -79089.4    , array([ 0.488012   ,  0.0456825  ,  1.85696e-14,  0.00273265 ,  3.31238e-09])
199798  , -79089.4    , array([ 0.488012   ,  0.0456825  ,  1.85511e-14,  0.00273538 ,  3.31238e-09])
199799  , -79089.4    , array([ 0.488012   ,  0.0456825  ,  1.85511e-14,  0.00273265 ,  3.31569e-09])
199800  , -79089.4    , array([ 0.488012   ,  0.0456825  ,  1.85511e-14,  0.00273265 ,  3.31238e-09])
199801  , -79089.3    , array([ 0.485375   ,  0.0419535  ,  1.85511e-14,  0.00273264 ,  3.62692e-09])
199802  , -79089.3    , array([ 0.485375   ,  0.0419535  ,  1.85511e-14,  0.00273264 ,  3.62692e-09])
199803  , -79089.3    , array([ 0.48586    ,  0.0419535  ,  1.85511e-14,  0.00273264 ,  3.62692e-09])
199804  , -79089.3    , array([ 0.485375   ,  0.0419955  ,  1.85511e-14,  0.00273264 ,  3.62692e-09])
199805  , -79089.3    , array([ 0.485375   ,  0.0419535  ,  1.85696e-14,  0.00273264 ,  3.62692e-09])
199806  , -79089.3    , array([ 0.485375   ,  0.0419535  ,  1.85511e-14,  0.00273538 ,  3.62692e-09])
199807  , -79089.3    , array([ 0.485375   ,  0.0419535  ,  1.85511e-14,  0.00273264 ,  3.63055e-09])
199808  , -79089.2    , array([ 0.474969   ,  0.0298431  ,  1.85511e-14,  0.00273264 ,  5.21348e-09])
199809  , -79089.2    , array([ 0.474969   ,  0.0298431  ,  1.85511e-14,  0.00273264 ,  5.21348e-09])
199810  , -79089.2    , array([ 0.475444   ,  0.0298431  ,  1.85511e-14,  0.00273264 ,  5.21348e-09])
199811  , -79089.2    , array([ 0.474969   ,  0.0298729  ,  1.85511e-14,  0.00273264 ,  5.21348e-09])
199812  , -79089.2    , array([ 0.474969   ,  0.0298431  ,  1.85696e-14,  0.00273264 ,  5.21348e-09])
199813  , -79089.2    , array([ 0.474969   ,  0.0298431  ,  1.85511e-14,  0.00273538 ,  5.21348e-09])
199814  , -79089.2    , array([ 0.474969   ,  0.0298431  ,  1.85511e-14,  0.00273264 ,  5.2187e-09 ])
199815  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199816  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199817  , -79086      , array([ 0.435965   ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199818  , -79086      , array([ 0.43553    ,  0.0076485  ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199819  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85696e-14,  0.00273264 ,  2.22581e-08])
199820  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273538 ,  2.22581e-08])
199821  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199829  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199830  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199831  , -79086      , array([ 0.435965   ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199832  , -79086      , array([ 0.43553    ,  0.0076485  ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199833  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85696e-14,  0.00273264 ,  2.22581e-08])
199834  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273538 ,  2.22581e-08])
199835  , -79086      , array([ 0.43553    ,  0.00764086 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199836  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199837  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199838  , -79086      , array([ 0.435965   ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199839  , -79086      , array([ 0.43553    ,  0.0076485  ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199840  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85696e-14,  0.00273264 ,  2.22581e-08])
199841  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273538 ,  2.22581e-08])
199842  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199850  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199851  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199852  , -79086      , array([ 0.435965   ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199853  , -79086      , array([ 0.43553    ,  0.0076485  ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199854  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85696e-14,  0.00273264 ,  2.22581e-08])
199855  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273538 ,  2.22581e-08])
199856  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199857  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199858  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199859  , -79086      , array([ 0.435965   ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199860  , -79086      , array([ 0.43553    ,  0.0076485  ,  1.85511e-14,  0.00273264 ,  2.22581e-08])
199861  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85696e-14,  0.00273264 ,  2.22581e-08])
199862  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273538 ,  2.22581e-08])
199863  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199864  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199865  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199866  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199867  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
