206368  , -78935.1    , array([ 0.301533   ,  0.394218   ,  4.62132e-15,  1.191e-22  ,  2.73767e-05])
206369  , -78935.2    , array([ 0.301835   ,  0.394218   ,  4.62132e-15,  1.191e-22  ,  2.73767e-05])
206370  , -78935.2    , array([ 0.301533   ,  0.394612   ,  4.62132e-15,  1.191e-22  ,  2.73767e-05])
206371  , -78935.1    , array([ 0.301533   ,  0.394218   ,  4.62595e-15,  1.191e-22  ,  2.73767e-05])
206372  , -78935.1    , array([ 0.301533   ,  0.394218   ,  4.62132e-15,  1.19219e-22,  2.73767e-05])
206373  , -78935      , array([ 0.301533   ,  0.394218   ,  4.62132e-15,  1.191e-22  ,  2.74041e-05])
206374  , -78935.1    , array([ 0.301533   ,  0.394218   ,  4.62132e-15,  1.191e-22  ,  2.73767e-05])
206375  , -78560      , array([ 0.204876   ,  0.255034   ,  4.62132e-15,  1.191e-22  ,  6.24872e-05])
206376  , -78560      , array([ 0.204876   ,  0.255034   ,  4.62132e-15,  1.191e-22  ,  6.24872e-05])
206377  , -78560.3    , array([ 0.205081   ,  0.255034   ,  4.62132e-15,  1.191e-22  ,  6.24872e-05])
206378  , -78560.3    , array([ 0.204876   ,  0.255289   ,  4.62132e-15,  1.191e-22  ,  6.24872e-05])
206379  , -78560      , array([ 0.204876   ,  0.255034   ,  4.62595e-15,  1.191e-22  ,  6.24872e-05])
206380  , -78560      , array([ 0.204876   ,  0.255034   ,  4.62132e-15,  1.19219e-22,  6.24872e-05])
206381  , -78559.5    , array([ 0.204876   ,  0.255034   ,  4.62132e-15,  1.191e-22  ,  6.25497e-05])
206382  , -38199.9    , array([ 0.0436628  ,  0.0446731  ,  4.62132e-15,  1.191e-22  ,  0.00169602 ])
206383  , -38199.9    , array([ 0.0436628  ,  0.0446731  ,  4.62132e-15,  1.191e-22  ,  0.00169602 ])
206384  , -38204      , array([ 0.0437065  ,  0.0446731  ,  4.62132e-15,  1.191e-22  ,  0.00169602 ])
206385  , -38216.7    , array([ 0.0436628  ,  0.0447178  ,  4.62132e-15,  1.191e-22  ,  0.00169602 ])
206386  , -38199.9    , array([ 0.0436628  ,  0.0446731  ,  4.62595e-15,  1.191e-22  ,  0.00169602 ])
206387  , -38199.9    , array([ 0.0436628  ,  0.0446731  ,  4.62132e-15,  1.19219e-22,  0.00169602 ])
206388  , -38179      , array([ 0.0436628  ,  0.0446731  ,  4.62132e-15,  1.191e-22  ,  0.00169772 ])
206396  , -37909.2    , array([ 0.0434753  ,  0.044457   ,  4.62132e-15,  1.191e-22  ,  0.00171167 ])
206397  , -37909.2    , array([ 0.0434753  ,  0.044457   ,  4.62132e-15,  1.191e-22  ,  0.00171167 ])
206398  , -37913.1    , array([ 0.0435188  ,  0.044457   ,  4.62132e-15,  1.191e-22  ,  0.00171167 ])
206399  , -37926      , array([ 0.0434753  ,  0.0445015  ,  4.62132e-15,  1.191e-22  ,  0.00171167 ])
206400  , -37909.2    , array([ 0.0434753  ,  0.044457   ,  4.62595e-15,  1.191e-22  ,  0.00171167 ])
206401  , -37909.2    , array([ 0.0434753  ,  0.044457   ,  4.62132e-15,  1.19219e-22,  0.00171167 ])
206402  , -37888.3    , array([ 0.0434753  ,  0.044457   ,  4.62132e-15,  1.191e-22  ,  0.00171338 ])
206403  , -27120.7    , array([ 0.0365772  ,  0.0365922  ,  4.62132e-15,  1.191e-22  ,  0.00247539 ])
206404  , -27120.7    , array([ 0.0365772  ,  0.0365922  ,  4.62132e-15,  1.191e-22  ,  0.00247539 ])
206405  , -27118.8    , array([ 0.0366138  ,  0.0365922  ,  4.62132e-15,  1.191e-22  ,  0.00247539 ])
206406  , -27138.8    , array([ 0.0365772  ,  0.0366288  ,  4.62132e-15,  1.191e-22  ,  0.00247539 ])
206407  , -27120.7    , array([ 0.0365772  ,  0.0365922  ,  4.62595e-15,  1.191e-22  ,  0.00247539 ])
206408  , -27120.7    , array([ 0.0365772  ,  0.0365922  ,  4.62132e-15,  1.19219e-22,  0.00247539 ])
206409  , -27104.1    , array([ 0.0365772  ,  0.0365922  ,  4.62132e-15,  1.191e-22  ,  0.00247787 ])
206410  , -1.9186e+06 , array([ 0.00181511 ,  0.00124054 ,  4.62132e-15,  1.191e-22  ,  1.50944    ])
206411  , -1.9186e+06 , array([ 0.00181511 ,  0.00124054 ,  4.62132e-15,  1.191e-22  ,  1.50944    ])
206412  , -1.91856e+06, array([ 0.00181692 ,  0.00124054 ,  4.62132e-15,  1.191e-22  ,  1.50944    ])
206413  , -1.91854e+06, array([ 0.00181511 ,  0.00124179 ,  4.62132e-15,  1.191e-22  ,  1.50944    ])
206414  , -1.91856e+06, array([ 0.00181511 ,  0.00124054 ,  4.62595e-15,  1.191e-22  ,  1.50944    ])
206415  , -1.9186e+06 , array([ 0.00181511 ,  0.00124054 ,  4.62132e-15,  1.19219e-22,  1.50944    ])
206416  , -1.91865e+06, array([ 0.00181511 ,  0.00124054 ,  4.62132e-15,  1.191e-22  ,  1.51095    ])
206417  , -24801.1    , array([ 0.034931   ,  0.0347419  ,  4.62132e-15,  1.191e-22  ,  0.00273116 ])
206418  , -24801.1    , array([ 0.034931   ,  0.0347419  ,  4.62132e-15,  1.191e-22  ,  0.00273116 ])
206419  , -24797      , array([ 0.034966   ,  0.0347419  ,  4.62132e-15,  1.191e-22  ,  0.00273116 ])
206420  , -24819      , array([ 0.034931   ,  0.0347766  ,  4.62132e-15,  1.191e-22  ,  0.00273116 ])
206421  , -24801.1    , array([ 0.034931   ,  0.0347419  ,  4.62595e-15,  1.191e-22  ,  0.00273116 ])
206422  , -24801.1    , array([ 0.034931   ,  0.0347419  ,  4.62132e-15,  1.19219e-22,  0.00273116 ])
206423  , -24786.8    , array([ 0.034931   ,  0.0347419  ,  4.62132e-15,  1.191e-22  ,  0.00273389 ])
206424  , -19806.2    , array([ 0.0289504  ,  0.0281157  ,  4.62132e-15,  1.191e-22  ,  0.00407852 ])
206425  , -19806.2    , array([ 0.0289504  ,  0.0281157  ,  4.62132e-15,  1.191e-22  ,  0.00407852 ])
206426  , -19790.6    , array([ 0.0289793  ,  0.0281157  ,  4.62132e-15,  1.191e-22  ,  0.00407852 ])
206427  , -19821.6    , array([ 0.0289504  ,  0.0281438  ,  4.62132e-15,  1.191e-22  ,  0.00407852 ])
206428  , -19806.2    , array([ 0.0289504  ,  0.0281157  ,  4.62595e-15,  1.191e-22  ,  0.00407852 ])
206429  , -19806.2    , array([ 0.0289504  ,  0.0281157  ,  4.62132e-15,  1.19219e-22,  0.00407852 ])
206430  , -19805.6    , array([ 0.0289504  ,  0.0281157  ,  4.62132e-15,  1.191e-22  ,  0.0040826  ])
206431  , -453882     , array([ 0.007249   ,  0.00590583 ,  4.62132e-15,  1.191e-22  ,  0.0784621  ])
206432  , -453882     , array([ 0.007249   ,  0.00590583 ,  4.62132e-15,  1.191e-22  ,  0.0784621  ])
206433  , -453855     , array([ 0.00725626 ,  0.00590583 ,  4.62132e-15,  1.191e-22  ,  0.0784621  ])
206434  , -454967     , array([ 0.007249   ,  0.00591173 ,  4.62132e-15,  1.191e-22  ,  0.0784621  ])
206435  , -453882     , array([ 0.007249   ,  0.00590583 ,  4.62595e-15,  1.191e-22  ,  0.0784621  ])
206436  , -453882     , array([ 0.007249   ,  0.00590583 ,  4.62132e-15,  1.19219e-22,  0.0784621  ])
206437  , -454825     , array([ 0.007249   ,  0.00590583 ,  4.62132e-15,  1.191e-22  ,  0.0785406  ])
206438  , -19788.5    , array([ 0.0286101  ,  0.0277435  ,  4.62132e-15,  1.191e-22  ,  0.00418281 ])
206439  , -19788.5    , array([ 0.0286101  ,  0.0277435  ,  4.62132e-15,  1.191e-22  ,  0.00418281 ])
206440  , -19772.2    , array([ 0.0286387  ,  0.0277435  ,  4.62132e-15,  1.191e-22  ,  0.00418281 ])
206441  , -19803.6    , array([ 0.0286101  ,  0.0277713  ,  4.62132e-15,  1.191e-22  ,  0.00418281 ])
206442  , -19788.5    , array([ 0.0286101  ,  0.0277435  ,  4.62595e-15,  1.191e-22  ,  0.00418281 ])
206443  , -19788.5    , array([ 0.0286101  ,  0.0277435  ,  4.62132e-15,  1.19219e-22,  0.00418281 ])
206444  , -19788.9    , array([ 0.0286101  ,  0.0277435  ,  4.62132e-15,  1.191e-22  ,  0.004187   ])
206452  , -20102      , array([ 0.0272925  ,  0.0262485  ,  4.62132e-15,  1.191e-22  ,  0.00463661 ])
206453  , -20102      , array([ 0.0272925  ,  0.0262485  ,  4.62132e-15,  1.191e-22  ,  0.00463661 ])
206454  , -20082.3    , array([ 0.0273198  ,  0.0262485  ,  4.62132e-15,  1.191e-22  ,  0.00463661 ])
206455  , -20115.9    , array([ 0.0272925  ,  0.0262748  ,  4.62132e-15,  1.191e-22  ,  0.00463661 ])
206456  , -20102      , array([ 0.0272925  ,  0.0262485  ,  4.62595e-15,  1.191e-22  ,  0.00463661 ])
206457  , -20102      , array([ 0.0272925  ,  0.0262485  ,  4.62132e-15,  1.19219e-22,  0.00463661 ])
206458  , -20106.9    , array([ 0.0272925  ,  0.0262485  ,  4.62132e-15,  1.191e-22  ,  0.00464124 ])
206459  , -19788      , array([ 0.028562   ,  0.0276888  ,  4.62132e-15,  1.191e-22  ,  0.00419822 ])
206460  , -19788      , array([ 0.028562   ,  0.0276888  ,  4.62132e-15,  1.191e-22  ,  0.00419822 ])
206461  , -19771.6    , array([ 0.0285905  ,  0.0276888  ,  4.62132e-15,  1.191e-22  ,  0.00419822 ])
