261948  , -79089.4    , array([ 0.0301756  ,  0.0419981  ,  2.00527e-60,  6.91972e-13,  8.33237e-12])
261949  , -79089.4    , array([ 0.0302058  ,  0.0419981  ,  2.00527e-60,  6.91972e-13,  8.33237e-12])
261950  , -79089.4    , array([ 0.0301756  ,  0.0420401  ,  2.00527e-60,  6.91972e-13,  8.33237e-12])
261951  , -79089.4    , array([ 0.0301756  ,  0.0419981  ,  2.00728e-60,  6.91972e-13,  8.33237e-12])
261952  , -79089.4    , array([ 0.0301756  ,  0.0419981  ,  2.00527e-60,  6.92665e-13,  8.33237e-12])
261953  , -79089.4    , array([ 0.0301756  ,  0.0419981  ,  2.00527e-60,  6.91972e-13,  8.34071e-12])
261954  , -79089.4    , array([ 0.0301756  ,  0.0419981  ,  2.00527e-60,  6.91972e-13,  8.33237e-12])
261955  , -79089.4    , array([ 0.0301689  ,  0.0419883  ,  2.00527e-60,  6.91972e-13,  8.33615e-12])
261956  , -79089.4    , array([ 0.0301689  ,  0.0419883  ,  2.00527e-60,  6.91972e-13,  8.33615e-12])
261957  , -79089.4    , array([ 0.0301991  ,  0.0419883  ,  2.00527e-60,  6.91972e-13,  8.33615e-12])
261958  , -79089.4    , array([ 0.0301689  ,  0.0420303  ,  2.00527e-60,  6.91972e-13,  8.33615e-12])
261959  , -79089.4    , array([ 0.0301689  ,  0.0419883  ,  2.00728e-60,  6.91972e-13,  8.33615e-12])
261960  , -79089.4    , array([ 0.0301689  ,  0.0419883  ,  2.00527e-60,  6.92665e-13,  8.33615e-12])
261961  , -79089.4    , array([ 0.0301689  ,  0.0419883  ,  2.00527e-60,  6.91972e-13,  8.34449e-12])
261962  , -79089.4    , array([ 0.0301423  ,  0.0419492  ,  2.00527e-60,  6.91972e-13,  8.35131e-12])
261963  , -79089.4    , array([ 0.0301423  ,  0.0419492  ,  2.00527e-60,  6.91972e-13,  8.35131e-12])
261964  , -79089.4    , array([ 0.0301725  ,  0.0419492  ,  2.00527e-60,  6.91972e-13,  8.35131e-12])
261965  , -79089.4    , array([ 0.0301423  ,  0.0419912  ,  2.00527e-60,  6.91972e-13,  8.35131e-12])
261966  , -79089.4    , array([ 0.0301423  ,  0.0419492  ,  2.00728e-60,  6.91972e-13,  8.35131e-12])
261967  , -79089.4    , array([ 0.0301423  ,  0.0419492  ,  2.00527e-60,  6.92665e-13,  8.35131e-12])
261968  , -79089.4    , array([ 0.0301423  ,  0.0419492  ,  2.00527e-60,  6.91972e-13,  8.35966e-12])
261969  , -79089.4    , array([ 0.0300363  ,  0.0417932  ,  2.00527e-60,  6.91972e-13,  8.41219e-12])
261970  , -79089.4    , array([ 0.0300363  ,  0.0417932  ,  2.00527e-60,  6.91972e-13,  8.41219e-12])
261971  , -79089.4    , array([ 0.0300663  ,  0.0417932  ,  2.00527e-60,  6.91972e-13,  8.41219e-12])
261972  , -79089.4    , array([ 0.0300363  ,  0.041835   ,  2.00527e-60,  6.91972e-13,  8.41219e-12])
261973  , -79089.4    , array([ 0.0300363  ,  0.0417932  ,  2.00728e-60,  6.91972e-13,  8.41219e-12])
261974  , -79089.4    , array([ 0.0300363  ,  0.0417932  ,  2.00527e-60,  6.92665e-13,  8.41219e-12])
261975  , -79089.4    , array([ 0.0300363  ,  0.0417932  ,  2.00527e-60,  6.91972e-13,  8.42061e-12])
261976  , -79089.4    , array([ 0.0296157  ,  0.041175   ,  2.00527e-60,  6.91972e-13,  8.6602e-12 ])
261977  , -79089.4    , array([ 0.0296157  ,  0.041175   ,  2.00527e-60,  6.91972e-13,  8.6602e-12 ])
261978  , -79089.4    , array([ 0.0296453  ,  0.041175   ,  2.00527e-60,  6.91972e-13,  8.6602e-12 ])
261979  , -79089.4    , array([ 0.0296157  ,  0.0412162  ,  2.00527e-60,  6.91972e-13,  8.6602e-12 ])
261980  , -79089.4    , array([ 0.0296157  ,  0.041175   ,  2.00728e-60,  6.91972e-13,  8.6602e-12 ])
261981  , -79089.4    , array([ 0.0296157  ,  0.041175   ,  2.00527e-60,  6.92665e-13,  8.6602e-12 ])
261982  , -79089.4    , array([ 0.0296157  ,  0.041175   ,  2.00527e-60,  6.91972e-13,  8.66887e-12])
261983  , -79089.4    , array([ 0.0279913  ,  0.0387922  ,  2.00527e-60,  6.91972e-13,  9.72757e-12])
261984  , -79089.4    , array([ 0.0279913  ,  0.0387922  ,  2.00527e-60,  6.91972e-13,  9.72757e-12])
261985  , -79089.4    , array([ 0.0280193  ,  0.0387922  ,  2.00527e-60,  6.91972e-13,  9.72757e-12])
261986  , -79089.4    , array([ 0.0279913  ,  0.038831   ,  2.00527e-60,  6.91972e-13,  9.72757e-12])
261987  , -79089.4    , array([ 0.0279913  ,  0.0387922  ,  2.00728e-60,  6.91972e-13,  9.72757e-12])
261988  , -79089.4    , array([ 0.0279913  ,  0.0387922  ,  2.00527e-60,  6.92665e-13,  9.72757e-12])
261989  , -79089.4    , array([ 0.0279913  ,  0.0387922  ,  2.00527e-60,  6.91972e-13,  9.7373e-12 ])
261990  , -79089.4    , array([ 0.0223374  ,  0.0305624  ,  2.00527e-60,  6.91972e-13,  1.54849e-11])
261991  , -79089.4    , array([ 0.0223374  ,  0.0305624  ,  2.00527e-60,  6.91972e-13,  1.54849e-11])
261992  , -79089.4    , array([ 0.0223597  ,  0.0305624  ,  2.00527e-60,  6.91972e-13,  1.54849e-11])
261993  , -79089.4    , array([ 0.0223374  ,  0.030593   ,  2.00527e-60,  6.91972e-13,  1.54849e-11])
261994  , -79089.4    , array([ 0.0223374  ,  0.0305624  ,  2.00728e-60,  6.91972e-13,  1.54849e-11])
261995  , -79089.4    , array([ 0.0223374  ,  0.0305624  ,  2.00527e-60,  6.92665e-13,  1.54849e-11])
261996  , -79089.4    , array([ 0.0223374  ,  0.0305624  ,  2.00527e-60,  6.91972e-13,  1.55004e-11])
261997  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
261998  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
261999  , -79089.4    , array([ 0.00906779 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262000  , -79089.4    , array([ 0.00905872 ,  0.0117868  ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262001  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00728e-60,  6.91972e-13,  9.94316e-11])
262002  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.92665e-13,  9.94316e-11])
262003  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.95311e-11])
262011  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262012  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262013  , -79089.4    , array([ 0.00906779 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262014  , -79089.4    , array([ 0.00905872 ,  0.0117868  ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262015  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00728e-60,  6.91972e-13,  9.94316e-11])
262016  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.92665e-13,  9.94316e-11])
262017  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.95311e-11])
262018  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262019  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262020  , -79089.4    , array([ 0.00906779 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262021  , -79089.4    , array([ 0.00905872 ,  0.0117868  ,  2.00527e-60,  6.91972e-13,  9.94316e-11])
262022  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00728e-60,  6.91972e-13,  9.94316e-11])
262023  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.92665e-13,  9.94316e-11])
262024  , -79089.4    , array([ 0.00905872 ,  0.011775   ,  2.00527e-60,  6.91972e-13,  9.95311e-11])
262025  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262026  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262027  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262028  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262029  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262030  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262031  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262032  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262033  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262034  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262035  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262036  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262037  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262038  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262039  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262040  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262041  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262042  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262043  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262044  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262045  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262053  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262054  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262055  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262056  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262057  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262058  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262059  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262060  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262061  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262062  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262063  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262064  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262065  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262066  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262074  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262075  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262076  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262077  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262078  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262079  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262080  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262081  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262082  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262083  , -79084.5    , array([ 0.00149132 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262084  , -79084.5    , array([ 0.00148983 ,  0.00174961 ,  2.00527e-60,  6.91972e-13,  4.09975e-09])
262085  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00728e-60,  6.91972e-13,  4.09975e-09])
262086  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.92665e-13,  4.09975e-09])
262087  , -79084.5    , array([ 0.00148983 ,  0.00174786 ,  2.00527e-60,  6.91972e-13,  4.10385e-09])
262088  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262089  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262090  , -79079.5    , array([ 0.00119009 ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262091  , -79079.5    , array([ 0.0011889  ,  0.00137843 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262092  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00728e-60,  6.91972e-13,  6.52622e-09])
262093  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.92665e-13,  6.52622e-09])
262094  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.53275e-09])
262095  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262096  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262097  , -79079.5    , array([ 0.00119009 ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262098  , -79079.5    , array([ 0.0011889  ,  0.00137843 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262099  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00728e-60,  6.91972e-13,  6.52622e-09])
262100  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.92665e-13,  6.52622e-09])
262101  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.53275e-09])
262102  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262103  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262104  , -79079.5    , array([ 0.00119009 ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262105  , -79079.5    , array([ 0.0011889  ,  0.00137843 ,  2.00527e-60,  6.91972e-13,  6.52622e-09])
262106  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00728e-60,  6.91972e-13,  6.52622e-09])
262107  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.92665e-13,  6.52622e-09])
262108  , -79079.5    , array([ 0.0011889  ,  0.00137705 ,  2.00527e-60,  6.91972e-13,  6.53275e-09])
262109  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262110  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262111  , -79075.3    , array([ 0.00106312 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262112  , -79075.3    , array([ 0.00106206 ,  0.0012235  ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262113  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00728e-60,  6.91972e-13,  8.23405e-09])
262114  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.92665e-13,  8.23405e-09])
262115  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.24229e-09])
262116  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262117  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262118  , -79075.3    , array([ 0.00106312 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262119  , -79075.3    , array([ 0.00106206 ,  0.0012235  ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262120  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00728e-60,  6.91972e-13,  8.23405e-09])
262121  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.92665e-13,  8.23405e-09])
262122  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.24229e-09])
262123  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262124  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262125  , -79075.3    , array([ 0.00106312 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262126  , -79075.3    , array([ 0.00106206 ,  0.0012235  ,  2.00527e-60,  6.91972e-13,  8.23405e-09])
262127  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00728e-60,  6.91972e-13,  8.23405e-09])
262128  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.92665e-13,  8.23405e-09])
262129  , -79075.3    , array([ 0.00106206 ,  0.00122228 ,  2.00527e-60,  6.91972e-13,  8.24229e-09])
262130  , -79072.7    , array([ 0.00100381 ,  0.00115155 ,  2.00527e-60,  6.91972e-13,  9.24889e-09])
262131  , -79072.7    , array([ 0.00100381 ,  0.00115155 ,  2.00527e-60,  6.91972e-13,  9.24889e-09])
262132  , -79072.7    , array([ 0.00100481 ,  0.00115155 ,  2.00527e-60,  6.91972e-13,  9.24889e-09])
262133  , -79072.7    , array([ 0.00100381 ,  0.0011527  ,  2.00527e-60,  6.91972e-13,  9.24889e-09])
262134  , -79072.7    , array([ 0.00100381 ,  0.00115155 ,  2.00728e-60,  6.91972e-13,  9.24889e-09])
