262450  , -78883.4    , array([ 0.346193   ,  39.7941    ,  3.70295e-52,  1.5411e-10 ,  8.78696e-05])
262451  , -78883.6    , array([ 0.34654    ,  39.7941    ,  3.70295e-52,  1.5411e-10 ,  8.78696e-05])
262452  , -78883.4    , array([ 0.346193   ,  39.8339    ,  3.70295e-52,  1.5411e-10 ,  8.78696e-05])
262453  , -78883.4    , array([ 0.346193   ,  39.7941    ,  3.70666e-52,  1.5411e-10 ,  8.78696e-05])
262454  , -78883.4    , array([ 0.346193   ,  39.7941    ,  3.70295e-52,  1.54264e-10,  8.78696e-05])
262455  , -78883.2    , array([ 0.346193   ,  39.7941    ,  3.70295e-52,  1.5411e-10 ,  8.79575e-05])
262456  , -78883.4    , array([ 0.346193   ,  39.7941    ,  3.70295e-52,  1.5411e-10 ,  8.78696e-05])
262457  , -78248.2    , array([ 0.170791   ,  39.4347    ,  3.70295e-52,  1.5411e-10 ,  0.000180822])
262458  , -78248.2    , array([ 0.170791   ,  39.4347    ,  3.70295e-52,  1.5411e-10 ,  0.000180822])
262459  , -78249.1    , array([ 0.170962   ,  39.4347    ,  3.70295e-52,  1.5411e-10 ,  0.000180822])
262460  , -78248.2    , array([ 0.170791   ,  39.4741    ,  3.70295e-52,  1.5411e-10 ,  0.000180822])
262461  , -78248.2    , array([ 0.170791   ,  39.4347    ,  3.70666e-52,  1.5411e-10 ,  0.000180822])
262462  , -78248.2    , array([ 0.170791   ,  39.4347    ,  3.70295e-52,  1.54264e-10,  0.000180822])
262463  , -78247.4    , array([ 0.170791   ,  39.4347    ,  3.70295e-52,  1.5411e-10 ,  0.000181003])
262464  , -76458.6    , array([ 0.0101169  ,  38.0291    ,  3.70295e-52,  1.5411e-10 ,  0.00324269 ])
262465  , -76458.6    , array([ 0.0101169  ,  38.0291    ,  3.70295e-52,  1.5411e-10 ,  0.00324269 ])
262466  , -76417      , array([ 0.0101271  ,  38.0291    ,  3.70295e-52,  1.5411e-10 ,  0.00324269 ])
