308293  , -22983.6    , array([ 12.81      ,  0.318442   ,  4.48445e-61,  5.56341e-06,  0.0313283  ])
308294  , -22984.1    , array([ 12.8228    ,  0.318442   ,  4.48445e-61,  5.56341e-06,  0.0313283  ])
308295  , -23009.6    , array([ 12.81      ,  0.318761   ,  4.48445e-61,  5.56341e-06,  0.0313283  ])
308296  , -22983.6    , array([ 12.81      ,  0.318442   ,  4.48894e-61,  5.56341e-06,  0.0313283  ])
308297  , -22983.6    , array([ 12.81      ,  0.318442   ,  4.48445e-61,  5.56898e-06,  0.0313283  ])
308298  , -22959.1    , array([ 12.81      ,  0.318442   ,  4.48445e-61,  5.56341e-06,  0.0313596  ])
308299  , -22983.6    , array([ 12.81      ,  0.318442   ,  4.48445e-61,  5.56341e-06,  0.0313283  ])
308300  , -3409.86    , array([ 12.6301    ,  0.152789   ,  4.48445e-61,  5.56341e-06,  0.0626623  ])
308301  , -3409.86    , array([ 12.6301    ,  0.152789   ,  4.48445e-61,  5.56341e-06,  0.0626623  ])
308302  , -3410.17    , array([ 12.6427    ,  0.152789   ,  4.48445e-61,  5.56341e-06,  0.0626623  ])
308303  , -3407.18    , array([ 12.6301    ,  0.152942   ,  4.48445e-61,  5.56341e-06,  0.0626623  ])
308304  , -3409.86    , array([ 12.6301    ,  0.152789   ,  4.48894e-61,  5.56341e-06,  0.0626623  ])
308305  , -3409.86    , array([ 12.6301    ,  0.152789   ,  4.48445e-61,  5.56898e-06,  0.0626623  ])
308306  , -3415.83    , array([ 12.6301    ,  0.152789   ,  4.48445e-61,  5.56341e-06,  0.062725   ])
308314  , -3407.28    , array([ 12.6277    ,  0.152657   ,  4.48445e-61,  5.56341e-06,  0.0626112  ])
308315  , -3407.28    , array([ 12.6277    ,  0.152657   ,  4.48445e-61,  5.56341e-06,  0.0626112  ])
308316  , -3407.59    , array([ 12.6404    ,  0.152657   ,  4.48445e-61,  5.56341e-06,  0.0626112  ])
308317  , -3404.6     , array([ 12.6277    ,  0.152809   ,  4.48445e-61,  5.56341e-06,  0.0626112  ])
308318  , -3407.28    , array([ 12.6277    ,  0.152657   ,  4.48894e-61,  5.56341e-06,  0.0626112  ])
308319  , -3407.28    , array([ 12.6277    ,  0.152657   ,  4.48445e-61,  5.56898e-06,  0.0626112  ])
308320  , -3413.25    , array([ 12.6277    ,  0.152657   ,  4.48445e-61,  5.56341e-06,  0.0626739  ])
308321  , -2457.66    , array([ 11.1993    ,  0.0875631  ,  4.48445e-61,  5.56341e-06,  0.0371036  ])
308322  , -2457.66    , array([ 11.1993    ,  0.0875631  ,  4.48445e-61,  5.56341e-06,  0.0371036  ])
308323  , -2457.79    , array([ 11.2105    ,  0.0875631  ,  4.48445e-61,  5.56341e-06,  0.0371036  ])
308324  , -2453.16    , array([ 11.1993    ,  0.0876507  ,  4.48445e-61,  5.56341e-06,  0.0371036  ])
308325  , -2457.66    , array([ 11.1993    ,  0.0875631  ,  4.48894e-61,  5.56341e-06,  0.0371036  ])
308326  , -2457.66    , array([ 11.1993    ,  0.0875631  ,  4.48445e-61,  5.56898e-06,  0.0371036  ])
308327  , -2463.14    , array([ 11.1993    ,  0.0875631  ,  4.48445e-61,  5.56341e-06,  0.0371407  ])
308335  , -2457.65    , array([ 11.1988    ,  0.0875634  ,  4.48445e-61,  5.56341e-06,  0.0371037  ])
308336  , -2457.65    , array([ 11.1988    ,  0.0875634  ,  4.48445e-61,  5.56341e-06,  0.0371037  ])
308337  , -2457.79    , array([ 11.21      ,  0.0875634  ,  4.48445e-61,  5.56341e-06,  0.0371037  ])
308338  , -2453.15    , array([ 11.1988    ,  0.087651   ,  4.48445e-61,  5.56341e-06,  0.0371037  ])
308339  , -2457.65    , array([ 11.1988    ,  0.0875634  ,  4.48894e-61,  5.56341e-06,  0.0371037  ])
308340  , -2457.65    , array([ 11.1988    ,  0.0875634  ,  4.48445e-61,  5.56898e-06,  0.0371037  ])
308341  , -2463.14    , array([ 11.1988    ,  0.0875634  ,  4.48445e-61,  5.56341e-06,  0.0371408  ])
308342  , -2457.64    , array([ 11.1983    ,  0.0875637  ,  4.48445e-61,  5.56341e-06,  0.0371038  ])
308343  , -2457.64    , array([ 11.1983    ,  0.0875637  ,  4.48445e-61,  5.56341e-06,  0.0371038  ])
308344  , -2457.78    , array([ 11.2095    ,  0.0875637  ,  4.48445e-61,  5.56341e-06,  0.0371038  ])
308345  , -2453.15    , array([ 11.1983    ,  0.0876513  ,  4.48445e-61,  5.56341e-06,  0.0371038  ])
308346  , -2457.64    , array([ 11.1983    ,  0.0875637  ,  4.48894e-61,  5.56341e-06,  0.0371038  ])
308347  , -2457.64    , array([ 11.1983    ,  0.0875637  ,  4.48445e-61,  5.56898e-06,  0.0371038  ])
308348  , -2463.13    , array([ 11.1983    ,  0.0875637  ,  4.48445e-61,  5.56341e-06,  0.0371409  ])
308349  , -394653     , array([ 0.00793853 ,  0.151453   ,  4.48445e-61,  5.56357e-06,  0.0584431  ])
308350  , -394653     , array([ 0.00793853 ,  0.151453   ,  4.48445e-61,  5.56357e-06,  0.0584431  ])
308351  , -394336     , array([ 0.00794648 ,  0.151453   ,  4.48445e-61,  5.56357e-06,  0.0584431  ])
308352  , -394664     , array([ 0.00793853 ,  0.151605   ,  4.48445e-61,  5.56357e-06,  0.0584431  ])
308353  , -394653     , array([ 0.00793853 ,  0.151453   ,  4.48894e-61,  5.56357e-06,  0.0584431  ])
308354  , -394653     , array([ 0.00793853 ,  0.151453   ,  4.48445e-61,  5.56913e-06,  0.0584431  ])
308355  , -394934     , array([ 0.00793853 ,  0.151453   ,  4.48445e-61,  5.56357e-06,  0.0585015  ])
308356  , -2110.06    , array([ 1.76932    ,  0.100663   ,  4.48445e-61,  5.56345e-06,  0.0416508  ])
308357  , -2110.06    , array([ 1.76932    ,  0.100663   ,  4.48445e-61,  5.56345e-06,  0.0416508  ])
308358  , -2110.03    , array([ 1.77109    ,  0.100663   ,  4.48445e-61,  5.56345e-06,  0.0416508  ])
308359  , -2106.15    , array([ 1.76932    ,  0.100764   ,  4.48445e-61,  5.56345e-06,  0.0416508  ])
308360  , -2110.06    , array([ 1.76932    ,  0.100663   ,  4.48894e-61,  5.56345e-06,  0.0416508  ])
308361  , -2110.06    , array([ 1.76932    ,  0.100663   ,  4.48445e-61,  5.56902e-06,  0.0416508  ])
308362  , -2114.9     , array([ 1.76932    ,  0.100663   ,  4.48445e-61,  5.56345e-06,  0.0416925  ])
308363  , -1826.52    , array([ 3.70321    ,  0.089109   ,  4.48445e-61,  5.56575e-06,  0.0328027  ])
308364  , -1826.52    , array([ 3.70321    ,  0.089109   ,  4.48445e-61,  5.56575e-06,  0.0328027  ])
308365  , -1826.74    , array([ 3.70691    ,  0.089109   ,  4.48445e-61,  5.56575e-06,  0.0328027  ])
308366  , -1826.2     , array([ 3.70321    ,  0.0891981  ,  4.48445e-61,  5.56575e-06,  0.0328027  ])
308367  , -1826.52    , array([ 3.70321    ,  0.089109   ,  4.48894e-61,  5.56575e-06,  0.0328027  ])
308368  , -1826.52    , array([ 3.70321    ,  0.089109   ,  4.48445e-61,  5.57132e-06,  0.0328027  ])
308369  , -1827.38    , array([ 3.70321    ,  0.089109   ,  4.48445e-61,  5.56575e-06,  0.0328355  ])
308370  , -1966.47    , array([ 0.789076   ,  0.0857799  ,  4.48445e-61,  5.57023e-06,  0.0286855  ])
308371  , -1966.47    , array([ 0.789076   ,  0.0857799  ,  4.48445e-61,  5.57023e-06,  0.0286855  ])
308372  , -1965.49    , array([ 0.789865   ,  0.0857799  ,  4.48445e-61,  5.57023e-06,  0.0286855  ])
308373  , -1968.28    , array([ 0.789076   ,  0.0858657  ,  4.48445e-61,  5.57023e-06,  0.0286855  ])
308374  , -1966.47    , array([ 0.789076   ,  0.0857799  ,  4.48894e-61,  5.57023e-06,  0.0286855  ])
308375  , -1966.47    , array([ 0.789076   ,  0.0857799  ,  4.48445e-61,  5.5758e-06 ,  0.0286855  ])
308376  , -1965.57    , array([ 0.789076   ,  0.0857799  ,  4.48445e-61,  5.57023e-06,  0.0287142  ])
308377  , -1680.35    , array([ 1.82651    ,  0.0875714  ,  4.48445e-61,  5.5678e-06 ,  0.0308519  ])
308378  , -1680.35    , array([ 1.82651    ,  0.0875714  ,  4.48445e-61,  5.5678e-06 ,  0.0308519  ])
308379  , -1680.45    , array([ 1.82833    ,  0.0875714  ,  4.48445e-61,  5.5678e-06 ,  0.0308519  ])
308380  , -1681.08    , array([ 1.82651    ,  0.087659   ,  4.48445e-61,  5.5678e-06 ,  0.0308519  ])
308381  , -1680.35    , array([ 1.82651    ,  0.0875714  ,  4.48894e-61,  5.5678e-06 ,  0.0308519  ])
308382  , -1680.35    , array([ 1.82651    ,  0.0875714  ,  4.48445e-61,  5.57337e-06,  0.0308519  ])
308383  , -1679.96    , array([ 1.82651    ,  0.0875714  ,  4.48445e-61,  5.5678e-06 ,  0.0308828  ])
308384  , -1664.46    , array([ 1.22412    ,  0.07962    ,  4.48445e-61,  5.57007e-06,  0.0283154  ])
