322582  , -52934.5    , array([ 0.174274   ,  0.471136   ,  5.008e-18  ,  3.37734e-34,  0.00567181 ])
322583  , -52942.6    , array([ 0.174449   ,  0.471136   ,  5.008e-18  ,  3.37734e-34,  0.00567181 ])
322584  , -52942.4    , array([ 0.174274   ,  0.471607   ,  5.008e-18  ,  3.37734e-34,  0.00567181 ])
322585  , -52934.5    , array([ 0.174274   ,  0.471136   ,  5.01301e-18,  3.37734e-34,  0.00567181 ])
322586  , -52934.5    , array([ 0.174274   ,  0.471136   ,  5.008e-18  ,  3.38072e-34,  0.00567181 ])
322587  , -52917.9    , array([ 0.174274   ,  0.471136   ,  5.008e-18  ,  3.37734e-34,  0.00567749 ])
322588  , -52934.5    , array([ 0.174274   ,  0.471136   ,  5.008e-18  ,  3.37734e-34,  0.00567181 ])
322589  , -35145.2    , array([ 0.11584    ,  0.315713   ,  5.008e-18  ,  3.37734e-34,  0.0130397  ])
322590  , -35145.2    , array([ 0.11584    ,  0.315713   ,  5.008e-18  ,  3.37734e-34,  0.0130397  ])
322591  , -35138.8    , array([ 0.115956   ,  0.315713   ,  5.008e-18  ,  3.37734e-34,  0.0130397  ])
322592  , -35158      , array([ 0.11584    ,  0.316029   ,  5.008e-18  ,  3.37734e-34,  0.0130397  ])
322593  , -35145.2    , array([ 0.11584    ,  0.315713   ,  5.01301e-18,  3.37734e-34,  0.0130397  ])
322594  , -35145.2    , array([ 0.11584    ,  0.315713   ,  5.008e-18  ,  3.38072e-34,  0.0130397  ])
322595  , -35136.7    , array([ 0.11584    ,  0.315713   ,  5.008e-18  ,  3.37734e-34,  0.0130528  ])
322596  , -36889.3    , array([ 0.15875    ,  0.0618201  ,  5.008e-18  ,  3.37734e-34,  0.0607552  ])
322597  , -36889.3    , array([ 0.15875    ,  0.0618201  ,  5.008e-18  ,  3.37734e-34,  0.0607552  ])
322598  , -36864      , array([ 0.158909   ,  0.0618201  ,  5.008e-18  ,  3.37734e-34,  0.0607552  ])
322599  , -36863.6    , array([ 0.15875    ,  0.0618819  ,  5.008e-18  ,  3.37734e-34,  0.0607552  ])
322600  , -36889.3    , array([ 0.15875    ,  0.0618201  ,  5.01301e-18,  3.37734e-34,  0.0607552  ])
322601  , -36889.3    , array([ 0.15875    ,  0.0618201  ,  5.008e-18  ,  3.38072e-34,  0.0607552  ])
322602  , -36936.7    , array([ 0.15875    ,  0.0618201  ,  5.008e-18  ,  3.37734e-34,  0.060816   ])
322603  , -18794.5    , array([ 0.13712    ,  0.131914   ,  5.008e-18  ,  3.37734e-34,  0.0297128  ])
322604  , -18794.5    , array([ 0.13712    ,  0.131914   ,  5.008e-18  ,  3.37734e-34,  0.0297128  ])
322605  , -18772.3    , array([ 0.137258   ,  0.131914   ,  5.008e-18  ,  3.37734e-34,  0.0297128  ])
322606  , -18805      , array([ 0.13712    ,  0.132046   ,  5.008e-18  ,  3.37734e-34,  0.0297128  ])
322607  , -18794.5    , array([ 0.13712    ,  0.131914   ,  5.01301e-18,  3.37734e-34,  0.0297128  ])
322608  , -18794.5    , array([ 0.13712    ,  0.131914   ,  5.008e-18  ,  3.38072e-34,  0.0297128  ])
322609  , -18803.3    , array([ 0.13712    ,  0.131914   ,  5.008e-18  ,  3.37734e-34,  0.0297425  ])
322617  , -18792.6    , array([ 0.13733    ,  0.132136   ,  5.008e-18  ,  3.37734e-34,  0.0297614  ])
322618  , -18792.6    , array([ 0.13733    ,  0.132136   ,  5.008e-18  ,  3.37734e-34,  0.0297614  ])
322619  , -18770.4    , array([ 0.137467   ,  0.132136   ,  5.008e-18  ,  3.37734e-34,  0.0297614  ])
322620  , -18803.2    , array([ 0.13733    ,  0.132268   ,  5.008e-18  ,  3.37734e-34,  0.0297614  ])
322621  , -18792.6    , array([ 0.13733    ,  0.132136   ,  5.01301e-18,  3.37734e-34,  0.0297614  ])
322622  , -18792.6    , array([ 0.13733    ,  0.132136   ,  5.008e-18  ,  3.38072e-34,  0.0297614  ])
322623  , -18801.4    , array([ 0.13733    ,  0.132136   ,  5.008e-18  ,  3.37734e-34,  0.0297911  ])
322624  , -18790.7    , array([ 0.13754    ,  0.132358   ,  5.008e-18  ,  3.37734e-34,  0.02981    ])
322625  , -18790.7    , array([ 0.13754    ,  0.132358   ,  5.008e-18  ,  3.37734e-34,  0.02981    ])
322626  , -18768.6    , array([ 0.137678   ,  0.132358   ,  5.008e-18  ,  3.37734e-34,  0.02981    ])
322627  , -18801.3    , array([ 0.13754    ,  0.13249    ,  5.008e-18  ,  3.37734e-34,  0.02981    ])
322628  , -18790.7    , array([ 0.13754    ,  0.132358   ,  5.01301e-18,  3.37734e-34,  0.02981    ])
322629  , -18790.7    , array([ 0.13754    ,  0.132358   ,  5.008e-18  ,  3.38072e-34,  0.02981    ])
322630  , -18799.5    , array([ 0.13754    ,  0.132358   ,  5.008e-18  ,  3.37734e-34,  0.0298399  ])
322638  , -18790.3    , array([ 0.137593   ,  0.132414   ,  5.008e-18  ,  3.37734e-34,  0.0298222  ])
322639  , -18790.3    , array([ 0.137593   ,  0.132414   ,  5.008e-18  ,  3.37734e-34,  0.0298222  ])
322640  , -18768.1    , array([ 0.13773    ,  0.132414   ,  5.008e-18  ,  3.37734e-34,  0.0298222  ])
322641  , -18800.8    , array([ 0.137593   ,  0.132546   ,  5.008e-18  ,  3.37734e-34,  0.0298222  ])
322642  , -18790.3    , array([ 0.137593   ,  0.132414   ,  5.01301e-18,  3.37734e-34,  0.0298222  ])
322643  , -18790.3    , array([ 0.137593   ,  0.132414   ,  5.008e-18  ,  3.38072e-34,  0.0298222  ])
322644  , -18799.1    , array([ 0.137593   ,  0.132414   ,  5.008e-18  ,  3.37734e-34,  0.0298521  ])
322645  , -18789.8    , array([ 0.137645   ,  0.132469   ,  5.008e-18  ,  3.37734e-34,  0.0298344  ])
322646  , -18789.8    , array([ 0.137645   ,  0.132469   ,  5.008e-18  ,  3.37734e-34,  0.0298344  ])
322647  , -18767.6    , array([ 0.137783   ,  0.132469   ,  5.008e-18  ,  3.37734e-34,  0.0298344  ])
322648  , -18800.3    , array([ 0.137645   ,  0.132602   ,  5.008e-18  ,  3.37734e-34,  0.0298344  ])
322649  , -18789.8    , array([ 0.137645   ,  0.132469   ,  5.01301e-18,  3.37734e-34,  0.0298344  ])
322650  , -18789.8    , array([ 0.137645   ,  0.132469   ,  5.008e-18  ,  3.38072e-34,  0.0298344  ])
322651  , -18798.6    , array([ 0.137645   ,  0.132469   ,  5.008e-18  ,  3.37734e-34,  0.0298643  ])
322659  , -18789.7    , array([ 0.137659   ,  0.132483   ,  5.008e-18  ,  3.37734e-34,  0.0298375  ])
322660  , -18789.7    , array([ 0.137659   ,  0.132483   ,  5.008e-18  ,  3.37734e-34,  0.0298375  ])
322661  , -18767.5    , array([ 0.137796   ,  0.132483   ,  5.008e-18  ,  3.37734e-34,  0.0298375  ])
322662  , -18800.2    , array([ 0.137659   ,  0.132616   ,  5.008e-18  ,  3.37734e-34,  0.0298375  ])
322663  , -18789.7    , array([ 0.137659   ,  0.132483   ,  5.01301e-18,  3.37734e-34,  0.0298375  ])
322664  , -18789.7    , array([ 0.137659   ,  0.132483   ,  5.008e-18  ,  3.38072e-34,  0.0298375  ])
322665  , -18798.5    , array([ 0.137659   ,  0.132483   ,  5.008e-18  ,  3.37734e-34,  0.0298673  ])
322666  , -18789.6    , array([ 0.137672   ,  0.132497   ,  5.008e-18  ,  3.37734e-34,  0.0298405  ])
322667  , -18789.6    , array([ 0.137672   ,  0.132497   ,  5.008e-18  ,  3.37734e-34,  0.0298405  ])
322668  , -18767.4    , array([ 0.13781    ,  0.132497   ,  5.008e-18  ,  3.37734e-34,  0.0298405  ])
322669  , -18800.1    , array([ 0.137672   ,  0.13263    ,  5.008e-18  ,  3.37734e-34,  0.0298405  ])
322670  , -18789.6    , array([ 0.137672   ,  0.132497   ,  5.01301e-18,  3.37734e-34,  0.0298405  ])
322671  , -18789.6    , array([ 0.137672   ,  0.132497   ,  5.008e-18  ,  3.38072e-34,  0.0298405  ])
322672  , -18798.4    , array([ 0.137672   ,  0.132497   ,  5.008e-18  ,  3.37734e-34,  0.0298704  ])
322673  , -54692.6    , array([ 4.42028    ,  5.98437    ,  5.008e-18  ,  3.37734e-34,  1.21527    ])
322674  , -54692.6    , array([ 4.42028    ,  5.98437    ,  5.008e-18  ,  3.37734e-34,  1.21527    ])
322675  , -54679.9    , array([ 4.4247     ,  5.98437    ,  5.008e-18  ,  3.37734e-34,  1.21527    ])
322676  , -54704.3    , array([ 4.42028    ,  5.99036    ,  5.008e-18  ,  3.37734e-34,  1.21527    ])
322677  , -54692.6    , array([ 4.42028    ,  5.98437    ,  5.01301e-18,  3.37734e-34,  1.21527    ])
322678  , -54692.6    , array([ 4.42028    ,  5.98437    ,  5.008e-18  ,  3.38072e-34,  1.21527    ])
322679  , -54721.3    , array([ 4.42028    ,  5.98437    ,  5.008e-18  ,  3.37734e-34,  1.21648    ])
322680  , -18387.7    , array([ 0.18942    ,  0.188113   ,  5.008e-18  ,  3.37734e-34,  0.0419648  ])
322681  , -18387.7    , array([ 0.18942    ,  0.188113   ,  5.008e-18  ,  3.37734e-34,  0.0419648  ])
322682  , -18366.1    , array([ 0.189609   ,  0.188113   ,  5.008e-18  ,  3.37734e-34,  0.0419648  ])
322683  , -18398.1    , array([ 0.18942    ,  0.188301   ,  5.008e-18  ,  3.37734e-34,  0.0419648  ])
322684  , -18387.7    , array([ 0.18942    ,  0.188113   ,  5.01301e-18,  3.37734e-34,  0.0419648  ])
322685  , -18387.7    , array([ 0.18942    ,  0.188113   ,  5.008e-18  ,  3.38072e-34,  0.0419648  ])
322686  , -18396.2    , array([ 0.18942    ,  0.188113   ,  5.008e-18  ,  3.37734e-34,  0.0420067  ])
322687  , -18021.7    , array([ 0.282394   ,  0.291682   ,  5.008e-18  ,  3.37734e-34,  0.0642987  ])
322688  , -18021.7    , array([ 0.282394   ,  0.291682   ,  5.008e-18  ,  3.37734e-34,  0.0642987  ])
322689  , -18001      , array([ 0.282677   ,  0.291682   ,  5.008e-18  ,  3.37734e-34,  0.0642987  ])
322690  , -18032      , array([ 0.282394   ,  0.291974   ,  5.008e-18  ,  3.37734e-34,  0.0642987  ])
322691  , -18021.7    , array([ 0.282394   ,  0.291682   ,  5.01301e-18,  3.37734e-34,  0.0642987  ])
322692  , -18021.7    , array([ 0.282394   ,  0.291682   ,  5.008e-18  ,  3.38072e-34,  0.0642987  ])
322693  , -18030.3    , array([ 0.282394   ,  0.291682   ,  5.008e-18  ,  3.37734e-34,  0.064363   ])
322694  , -16591.9    , array([ 0.265308   ,  0.234662   ,  5.008e-18  ,  3.37734e-34,  0.0597038  ])
322695  , -16591.9    , array([ 0.265308   ,  0.234662   ,  5.008e-18  ,  3.37734e-34,  0.0597038  ])
322696  , -16571.4    , array([ 0.265573   ,  0.234662   ,  5.008e-18  ,  3.37734e-34,  0.0597038  ])
322697  , -16600.3    , array([ 0.265308   ,  0.234897   ,  5.008e-18  ,  3.37734e-34,  0.0597038  ])
322698  , -16591.9    , array([ 0.265308   ,  0.234662   ,  5.01301e-18,  3.37734e-34,  0.0597038  ])
322699  , -16591.9    , array([ 0.265308   ,  0.234662   ,  5.008e-18  ,  3.38072e-34,  0.0597038  ])
322700  , -16601.8    , array([ 0.265308   ,  0.234662   ,  5.008e-18  ,  3.37734e-34,  0.0597636  ])
322701  , -13913.2    , array([ 0.283841   ,  0.20512    ,  5.008e-18  ,  3.37734e-34,  0.0575103  ])
322702  , -13913.2    , array([ 0.283841   ,  0.20512    ,  5.008e-18  ,  3.37734e-34,  0.0575103  ])
322703  , -13895.3    , array([ 0.284125   ,  0.20512    ,  5.008e-18  ,  3.37734e-34,  0.0575103  ])
322704  , -13919.9    , array([ 0.283841   ,  0.205325   ,  5.008e-18  ,  3.37734e-34,  0.0575103  ])
322705  , -13913.2    , array([ 0.283841   ,  0.20512    ,  5.01301e-18,  3.37734e-34,  0.0575103  ])
322706  , -13913.2    , array([ 0.283841   ,  0.20512    ,  5.008e-18  ,  3.38072e-34,  0.0575103  ])
322707  , -13922.8    , array([ 0.283841   ,  0.20512    ,  5.008e-18  ,  3.37734e-34,  0.0575678  ])
322708  , -9379.43    , array([ 0.271208   ,  0.131347   ,  5.008e-18  ,  3.37734e-34,  0.0409105  ])
322709  , -9379.43    , array([ 0.271208   ,  0.131347   ,  5.008e-18  ,  3.37734e-34,  0.0409105  ])
322710  , -9366.53    , array([ 0.271479   ,  0.131347   ,  5.008e-18  ,  3.37734e-34,  0.0409105  ])
322711  , -9383.59    , array([ 0.271208   ,  0.131478   ,  5.008e-18  ,  3.37734e-34,  0.0409105  ])
322712  , -9379.43    , array([ 0.271208   ,  0.131347   ,  5.01301e-18,  3.37734e-34,  0.0409105  ])
322713  , -9379.43    , array([ 0.271208   ,  0.131347   ,  5.008e-18  ,  3.38072e-34,  0.0409105  ])
322714  , -9386.65    , array([ 0.271208   ,  0.131347   ,  5.008e-18  ,  3.37734e-34,  0.0409515  ])
322715  , -3703.46    , array([ 0.559761   ,  0.121463   ,  5.008e-18  ,  3.37734e-34,  0.0439366  ])
322716  , -3703.46    , array([ 0.559761   ,  0.121463   ,  5.008e-18  ,  3.37734e-34,  0.0439366  ])
322717  , -3699.02    , array([ 0.560321   ,  0.121463   ,  5.008e-18  ,  3.37734e-34,  0.0439366  ])
322718  , -3703.38    , array([ 0.559761   ,  0.121585   ,  5.008e-18  ,  3.37734e-34,  0.0439366  ])
322719  , -3703.46    , array([ 0.559761   ,  0.121463   ,  5.01301e-18,  3.37734e-34,  0.0439366  ])
322720  , -3703.46    , array([ 0.559761   ,  0.121463   ,  5.008e-18  ,  3.38072e-34,  0.0439366  ])
322721  , -3707.83    , array([ 0.559761   ,  0.121463   ,  5.008e-18  ,  3.37734e-34,  0.0439806  ])
322722  , -2457.37    , array([ 0.495382   ,  0.0715316  ,  5.008e-18  ,  3.37734e-34,  0.024296   ])
322723  , -2457.37    , array([ 0.495382   ,  0.0715316  ,  5.008e-18  ,  3.37734e-34,  0.024296   ])
322724  , -2455.19    , array([ 0.495877   ,  0.0715316  ,  5.008e-18  ,  3.37734e-34,  0.024296   ])
322725  , -2458.54    , array([ 0.495382   ,  0.0716032  ,  5.008e-18  ,  3.37734e-34,  0.024296   ])
322726  , -2457.37    , array([ 0.495382   ,  0.0715316  ,  5.01301e-18,  3.37734e-34,  0.024296   ])
322727  , -2457.37    , array([ 0.495382   ,  0.0715316  ,  5.008e-18  ,  3.38072e-34,  0.024296   ])
322728  , -2457.88    , array([ 0.495382   ,  0.0715316  ,  5.008e-18  ,  3.37734e-34,  0.0243203  ])
322729  , -1890.74    , array([ 0.755033   ,  0.074243   ,  5.008e-18  ,  3.37734e-34,  0.0265309  ])
322730  , -1890.74    , array([ 0.755033   ,  0.074243   ,  5.008e-18  ,  3.37734e-34,  0.0265309  ])
322731  , -1889.77    , array([ 0.755789   ,  0.074243   ,  5.008e-18  ,  3.37734e-34,  0.0265309  ])
322732  , -1890.63    , array([ 0.755033   ,  0.0743173  ,  5.008e-18  ,  3.37734e-34,  0.0265309  ])
322733  , -1890.74    , array([ 0.755033   ,  0.074243   ,  5.01301e-18,  3.37734e-34,  0.0265309  ])
322734  , -1890.74    , array([ 0.755033   ,  0.074243   ,  5.008e-18  ,  3.38072e-34,  0.0265309  ])
322735  , -1891.6     , array([ 0.755033   ,  0.074243   ,  5.008e-18  ,  3.37734e-34,  0.0265575  ])
322736  , -1708.53    , array([ 1.07688    ,  0.0816535  ,  5.008e-18  ,  3.37734e-34,  0.0287549  ])
322737  , -1708.53    , array([ 1.07688    ,  0.0816535  ,  5.008e-18  ,  3.37734e-34,  0.0287549  ])
322738  , -1708.16    , array([ 1.07796    ,  0.0816535  ,  5.008e-18  ,  3.37734e-34,  0.0287549  ])
322739  , -1709.02    , array([ 1.07688    ,  0.0817352  ,  5.008e-18  ,  3.37734e-34,  0.0287549  ])
322740  , -1708.53    , array([ 1.07688    ,  0.0816535  ,  5.01301e-18,  3.37734e-34,  0.0287549  ])
322741  , -1708.53    , array([ 1.07688    ,  0.0816535  ,  5.008e-18  ,  3.38072e-34,  0.0287549  ])
322742  , -1708.49    , array([ 1.07688    ,  0.0816535  ,  5.008e-18  ,  3.37734e-34,  0.0287837  ])
322743  , -1649.18    , array([ 1.19054    ,  0.0686104  ,  5.008e-18  ,  3.37734e-34,  0.0248913  ])
322744  , -1649.18    , array([ 1.19054    ,  0.0686104  ,  5.008e-18  ,  3.37734e-34,  0.0248913  ])
322745  , -1649.03    , array([ 1.19173    ,  0.0686104  ,  5.008e-18  ,  3.37734e-34,  0.0248913  ])
