328540  , -78965.2    , array([ 1.14182    ,  2.74196    ,  1.96001e-67,  3.35509e-46,  0.000108751])
328541  , -78965.2    , array([ 1.14297    ,  2.74196    ,  1.96001e-67,  3.35509e-46,  0.000108751])
328542  , -78965.2    , array([ 1.14182    ,  2.7447     ,  1.96001e-67,  3.35509e-46,  0.000108751])
328543  , -78965.2    , array([ 1.14182    ,  2.74196    ,  1.96197e-67,  3.35509e-46,  0.000108751])
328544  , -78965.2    , array([ 1.14182    ,  2.74196    ,  1.96001e-67,  3.35845e-46,  0.000108751])
328545  , -78965      , array([ 1.14182    ,  2.74196    ,  1.96001e-67,  3.35509e-46,  0.00010886 ])
328546  , -78965.2    , array([ 1.14182    ,  2.74196    ,  1.96001e-67,  3.35509e-46,  0.000108751])
328547  , -78658.1    , array([ 0.691684   ,  2.01639    ,  1.96001e-67,  3.35509e-46,  0.000247216])
328548  , -78658.1    , array([ 0.691684   ,  2.01639    ,  1.96001e-67,  3.35509e-46,  0.000247216])
328549  , -78658.4    , array([ 0.692376   ,  2.01639    ,  1.96001e-67,  3.35509e-46,  0.000247216])
328550  , -78658.3    , array([ 0.691684   ,  2.0184     ,  1.96001e-67,  3.35509e-46,  0.000247216])
328551  , -78658.1    , array([ 0.691684   ,  2.01639    ,  1.96197e-67,  3.35509e-46,  0.000247216])
328552  , -78658.1    , array([ 0.691684   ,  2.01639    ,  1.96001e-67,  3.35845e-46,  0.000247216])
328553  , -78657.7    , array([ 0.691684   ,  2.01639    ,  1.96001e-67,  3.35509e-46,  0.000247463])
328554  , -47915.5    , array([ 0.0931412  ,  0.589692   ,  1.96001e-67,  3.35509e-46,  0.0066016  ])
328555  , -47915.5    , array([ 0.0931412  ,  0.589692   ,  1.96001e-67,  3.35509e-46,  0.0066016  ])
328556  , -47919.6    , array([ 0.0932344  ,  0.589692   ,  1.96001e-67,  3.35509e-46,  0.0066016  ])
328557  , -47921.4    , array([ 0.0931412  ,  0.590282   ,  1.96001e-67,  3.35509e-46,  0.0066016  ])
328558  , -47915.5    , array([ 0.0931412  ,  0.589692   ,  1.96197e-67,  3.35509e-46,  0.0066016  ])
328559  , -47915.5    , array([ 0.0931412  ,  0.589692   ,  1.96001e-67,  3.35845e-46,  0.0066016  ])
328560  , -47904.4    , array([ 0.0931412  ,  0.589692   ,  1.96001e-67,  3.35509e-46,  0.0066082  ])
328568  , -47843.8    , array([ 0.0928827  ,  0.588688   ,  1.96001e-67,  3.35509e-46,  0.00663172 ])
328569  , -47843.8    , array([ 0.0928827  ,  0.588688   ,  1.96001e-67,  3.35509e-46,  0.00663172 ])
328570  , -47847.8    , array([ 0.0929756  ,  0.588688   ,  1.96001e-67,  3.35509e-46,  0.00663172 ])
328571  , -47849.7    , array([ 0.0928827  ,  0.589277   ,  1.96001e-67,  3.35509e-46,  0.00663172 ])
328572  , -47843.8    , array([ 0.0928827  ,  0.588688   ,  1.96197e-67,  3.35509e-46,  0.00663172 ])
328573  , -47843.8    , array([ 0.0928827  ,  0.588688   ,  1.96001e-67,  3.35845e-46,  0.00663172 ])
328574  , -47832.7    , array([ 0.0928827  ,  0.588688   ,  1.96001e-67,  3.35509e-46,  0.00663836 ])
328575  , -45891.3    , array([ 0.0848889  ,  0.557082   ,  1.96001e-67,  3.35509e-46,  0.00768524 ])
328576  , -45891.3    , array([ 0.0848889  ,  0.557082   ,  1.96001e-67,  3.35509e-46,  0.00768524 ])
328577  , -45891.4    , array([ 0.0849738  ,  0.557082   ,  1.96001e-67,  3.35509e-46,  0.00768524 ])
328578  , -45897.8    , array([ 0.0848889  ,  0.55764    ,  1.96001e-67,  3.35509e-46,  0.00768524 ])
328579  , -45891.3    , array([ 0.0848889  ,  0.557082   ,  1.96197e-67,  3.35509e-46,  0.00768524 ])
328580  , -45891.3    , array([ 0.0848889  ,  0.557082   ,  1.96001e-67,  3.35845e-46,  0.00768524 ])
328581  , -45883.3    , array([ 0.0848889  ,  0.557082   ,  1.96001e-67,  3.35509e-46,  0.00769293 ])
328589  , -45883.6    , array([ 0.0848507  ,  0.556929   ,  1.96001e-67,  3.35509e-46,  0.0076909  ])
328590  , -45883.6    , array([ 0.0848507  ,  0.556929   ,  1.96001e-67,  3.35509e-46,  0.0076909  ])
328591  , -45883.6    , array([ 0.0849356  ,  0.556929   ,  1.96001e-67,  3.35509e-46,  0.0076909  ])
328592  , -45890.1    , array([ 0.0848507  ,  0.557486   ,  1.96001e-67,  3.35509e-46,  0.0076909  ])
328593  , -45883.6    , array([ 0.0848507  ,  0.556929   ,  1.96197e-67,  3.35509e-46,  0.0076909  ])
328594  , -45883.6    , array([ 0.0848507  ,  0.556929   ,  1.96001e-67,  3.35845e-46,  0.0076909  ])
328595  , -45875.6    , array([ 0.0848507  ,  0.556929   ,  1.96001e-67,  3.35509e-46,  0.0076986  ])
328596  , -45691.3    , array([ 0.0838647  ,  0.552951   ,  1.96001e-67,  3.35509e-46,  0.0078396  ])
328597  , -45691.3    , array([ 0.0838647  ,  0.552951   ,  1.96001e-67,  3.35509e-46,  0.0078396  ])
328598  , -45690.7    , array([ 0.0839486  ,  0.552951   ,  1.96001e-67,  3.35509e-46,  0.0078396  ])
328599  , -45697.9    , array([ 0.0838647  ,  0.553505   ,  1.96001e-67,  3.35509e-46,  0.0078396  ])
328600  , -45691.3    , array([ 0.0838647  ,  0.552951   ,  1.96197e-67,  3.35509e-46,  0.0078396  ])
328601  , -45691.3    , array([ 0.0838647  ,  0.552951   ,  1.96001e-67,  3.35845e-46,  0.0078396  ])
328602  , -45683.8    , array([ 0.0838647  ,  0.552951   ,  1.96001e-67,  3.35509e-46,  0.00784744 ])
328603  , -770678     , array([ 0.0116284  ,  0.164638   ,  1.96001e-67,  3.35509e-46,  0.199548   ])
328604  , -770678     , array([ 0.0116284  ,  0.164638   ,  1.96001e-67,  3.35509e-46,  0.199548   ])
328605  , -769987     , array([ 0.0116401  ,  0.164638   ,  1.96001e-67,  3.35509e-46,  0.199548   ])
328606  , -770663     , array([ 0.0116284  ,  0.164803   ,  1.96001e-67,  3.35509e-46,  0.199548   ])
328607  , -770678     , array([ 0.0116284  ,  0.164638   ,  1.96197e-67,  3.35509e-46,  0.199548   ])
328608  , -770678     , array([ 0.0116284  ,  0.164638   ,  1.96001e-67,  3.35845e-46,  0.199548   ])
328609  , -771371     , array([ 0.0116284  ,  0.164638   ,  1.96001e-67,  3.35509e-46,  0.199747   ])
328610  , -55106.2    , array([ 0.0530767  ,  0.417696   ,  1.96001e-67,  3.35509e-46,  0.0165876  ])
328611  , -55106.2    , array([ 0.0530767  ,  0.417696   ,  1.96001e-67,  3.35509e-46,  0.0165876  ])
328612  , -55069.9    , array([ 0.0531298  ,  0.417696   ,  1.96001e-67,  3.35509e-46,  0.0165876  ])
328613  , -55116.6    , array([ 0.0530767  ,  0.418114   ,  1.96001e-67,  3.35509e-46,  0.0165876  ])
328614  , -55106.2    , array([ 0.0530767  ,  0.417696   ,  1.96197e-67,  3.35509e-46,  0.0165876  ])
328615  , -55106.2    , array([ 0.0530767  ,  0.417696   ,  1.96001e-67,  3.35845e-46,  0.0165876  ])
