135872  , -79089.2    , array([ 0.0836728  ,  1.07211    ,  2.47481e-51,  8.89667e-07,  2.58551e-08])
135873  , -79089.2    , array([ 0.0837565  ,  1.07211    ,  2.47481e-51,  8.89667e-07,  2.58551e-08])
135874  , -79089.2    , array([ 0.0836728  ,  1.07318    ,  2.47481e-51,  8.89667e-07,  2.58551e-08])
135875  , -79089.2    , array([ 0.0836728  ,  1.07211    ,  2.47729e-51,  8.89667e-07,  2.58551e-08])
135876  , -79089.2    , array([ 0.0836728  ,  1.07211    ,  2.47481e-51,  8.90557e-07,  2.58551e-08])
135877  , -79089.2    , array([ 0.0836728  ,  1.07211    ,  2.47481e-51,  8.89667e-07,  2.5881e-08 ])
135878  , -79089.2    , array([ 0.0836728  ,  1.07211    ,  2.47481e-51,  8.89667e-07,  2.58551e-08])
135879  , -79089      , array([ 0.065383   ,  1.04217    ,  2.47481e-51,  8.89667e-07,  3.40621e-08])
135880  , -79089      , array([ 0.065383   ,  1.04217    ,  2.47481e-51,  8.89667e-07,  3.40621e-08])
135881  , -79089      , array([ 0.0654485  ,  1.04217    ,  2.47481e-51,  8.89667e-07,  3.40621e-08])
135882  , -79089      , array([ 0.065383   ,  1.04321    ,  2.47481e-51,  8.89667e-07,  3.40621e-08])
135883  , -79089      , array([ 0.065383   ,  1.04217    ,  2.47729e-51,  8.89667e-07,  3.40621e-08])
135884  , -79089      , array([ 0.065383   ,  1.04217    ,  2.47481e-51,  8.90557e-07,  3.40621e-08])
135885  , -79089      , array([ 0.065383   ,  1.04217    ,  2.47481e-51,  8.89667e-07,  3.40962e-08])
135886  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135887  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135888  , -79086      , array([ 0.0244019  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135889  , -79086      , array([ 0.0243775  ,  0.931479   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135890  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47729e-51,  8.89667e-07,  1.02605e-07])
135891  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.90557e-07,  1.02605e-07])
135892  , -79085.9    , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02708e-07])
135900  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135901  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135902  , -79086      , array([ 0.0244019  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135903  , -79086      , array([ 0.0243775  ,  0.931479   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135904  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47729e-51,  8.89667e-07,  1.02605e-07])
135905  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.90557e-07,  1.02605e-07])
135906  , -79085.9    , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02708e-07])
135907  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135908  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135909  , -79086      , array([ 0.0244019  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135910  , -79086      , array([ 0.0243775  ,  0.931479   ,  2.47481e-51,  8.89667e-07,  1.02605e-07])
135911  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47729e-51,  8.89667e-07,  1.02605e-07])
135912  , -79086      , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.90557e-07,  1.02605e-07])
135913  , -79085.9    , array([ 0.0243775  ,  0.930548   ,  2.47481e-51,  8.89667e-07,  1.02708e-07])
135914  , -78869.5    , array([ 0.00338874 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.31037e-07])
135915  , -78869.5    , array([ 0.00338874 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.31037e-07])
135916  , -78869.7    , array([ 0.00339213 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.31037e-07])
135917  , -78869.5    , array([ 0.00338874 ,  0.742634   ,  2.47481e-51,  8.89667e-07,  9.31037e-07])
135918  , -78869.5    , array([ 0.00338874 ,  0.741892   ,  2.47729e-51,  8.89667e-07,  9.31037e-07])
135919  , -78869.5    , array([ 0.00338874 ,  0.741892   ,  2.47481e-51,  8.90557e-07,  9.31037e-07])
135920  , -78869.2    , array([ 0.00338874 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.31968e-07])
135921  , -78869.5    , array([ 0.00338873 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.3104e-07 ])
135922  , -78869.5    , array([ 0.00338873 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.3104e-07 ])
135923  , -78869.7    , array([ 0.00339212 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.3104e-07 ])
135924  , -78869.5    , array([ 0.00338873 ,  0.742634   ,  2.47481e-51,  8.89667e-07,  9.3104e-07 ])
135925  , -78869.5    , array([ 0.00338873 ,  0.741892   ,  2.47729e-51,  8.89667e-07,  9.3104e-07 ])
135926  , -78869.5    , array([ 0.00338873 ,  0.741892   ,  2.47481e-51,  8.90557e-07,  9.3104e-07 ])
135927  , -78869.2    , array([ 0.00338873 ,  0.741892   ,  2.47481e-51,  8.89667e-07,  9.31972e-07])
135928  , -78869.5    , array([ 0.00338872 ,  0.741891   ,  2.47481e-51,  8.89667e-07,  9.31043e-07])
135929  , -78869.5    , array([ 0.00338872 ,  0.741891   ,  2.47481e-51,  8.89667e-07,  9.31043e-07])
135930  , -78869.7    , array([ 0.00339211 ,  0.741891   ,  2.47481e-51,  8.89667e-07,  9.31043e-07])
135931  , -78869.5    , array([ 0.00338872 ,  0.742634   ,  2.47481e-51,  8.89667e-07,  9.31043e-07])
135932  , -78869.5    , array([ 0.00338872 ,  0.741891   ,  2.47729e-51,  8.89667e-07,  9.31043e-07])
135933  , -78869.5    , array([ 0.00338872 ,  0.741891   ,  2.47481e-51,  8.90557e-07,  9.31043e-07])
135934  , -78869.2    , array([ 0.00338872 ,  0.741891   ,  2.47481e-51,  8.89667e-07,  9.31975e-07])
