29      , -79089      , array([ 0.116282   ,  0.137119   ,  0.000339651,  2.94557e-50,  2.77386e-08])
30      , -79089      , array([ 0.116398   ,  0.137119   ,  0.000339651,  2.94557e-50,  2.77386e-08])
31      , -79089      , array([ 0.116282   ,  0.137256   ,  0.000339651,  2.94557e-50,  2.77386e-08])
32      , -79089      , array([ 0.116282   ,  0.137119   ,  0.000339991,  2.94557e-50,  2.77386e-08])
33      , -79089      , array([ 0.116282   ,  0.137119   ,  0.000339651,  2.94852e-50,  2.77386e-08])
34      , -79089      , array([ 0.116282   ,  0.137119   ,  0.000339651,  2.94557e-50,  2.77664e-08])
35      , -79089      , array([ 0.116282   ,  0.137119   ,  0.000339651,  2.94557e-50,  2.77386e-08])
36      , -79088.6    , array([ 0.0961211  ,  0.108124   ,  0.000339651,  2.94557e-50,  4.25932e-08])
37      , -79088.6    , array([ 0.0961211  ,  0.108124   ,  0.000339651,  2.94557e-50,  4.25932e-08])
38      , -79088.6    , array([ 0.0962173  ,  0.108124   ,  0.000339651,  2.94557e-50,  4.25932e-08])
39      , -79088.6    , array([ 0.0961211  ,  0.108232   ,  0.000339651,  2.94557e-50,  4.25932e-08])
40      , -79088.6    , array([ 0.0961211  ,  0.108124   ,  0.000339991,  2.94557e-50,  4.25932e-08])
41      , -79088.6    , array([ 0.0961211  ,  0.108124   ,  0.000339651,  2.94852e-50,  4.25932e-08])
42      , -79088.6    , array([ 0.0961211  ,  0.108124   ,  0.000339651,  2.94557e-50,  4.26358e-08])
43      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.36789e-07])
44      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.36789e-07])
45      , -79078.6    , array([ 0.0449238  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.36789e-07])
46      , -79078.6    , array([ 0.0448789  ,  0.0418462  ,  0.000339651,  2.94557e-50,  2.36789e-07])
47      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339991,  2.94557e-50,  2.36789e-07])
48      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94852e-50,  2.36789e-07])
49      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.37026e-07])
57      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.3679e-07 ])
58      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.3679e-07 ])
59      , -79078.6    , array([ 0.0449238  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.3679e-07 ])
60      , -79078.6    , array([ 0.0448789  ,  0.0418462  ,  0.000339651,  2.94557e-50,  2.3679e-07 ])
61      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339991,  2.94557e-50,  2.3679e-07 ])
62      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94852e-50,  2.3679e-07 ])
63      , -79078.6    , array([ 0.0448789  ,  0.0418044  ,  0.000339651,  2.94557e-50,  2.37026e-07])
