Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-13974.92	27965.84	5475.99	10946.7	1.6697,0.4406,0.82,0.7019,0.9561,7.2056,1.5475,1.2351
our_model	Round_1_Replicate_2	-14012.85	28041.7	5549.31	8054.85	2.2406,0.604,1.1022,0.5091,0.721,5.1353,2.5395,1.6882
our_model	Round_1_Replicate_3	-13936.96	27889.92	5405.03	11336.01	1.6194,0.4039,0.8482,0.8782,0.8343,7.5213,1.4534,1.2099
our_model	Round_1_Replicate_4	-11692.49	23400.98	1011.04	19012.71	1.5664,0.6346,0.7722,0.7028,2.2611,0.01,0.1631,0.0376
our_model	Round_1_Replicate_5	-11729.27	23474.54	1094.38	20224.8	1.4406,0.3299,0.5377,0.0917,0.8942,10.4233,0.0279,0.1284
our_model	Round_1_Replicate_6	-13950.52	27917.04	5425.48	11716.9	1.5626,0.4029,0.7864,0.826,0.9491,7.7392,1.3513,1.1888
our_model	Round_1_Replicate_7	-11351.62	22719.24	342.91	20235.34	1.4242,0.5333,0.7955,0.5429,1.8324,0.8841,0.1211,0.0379
our_model	Round_1_Replicate_8	-13955.82	27927.64	5459.63	10452.72	1.77,0.428,0.92,0.7884,0.8061,7.1238,1.662,1.3756
our_model	Round_1_Replicate_9	-13961.88	27939.76	5463.82	6584.51	2.7708,0.6762,1.4903,0.551,0.455,4.4378,3.3709,2.1183
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-13968.84	27953.68	5462.1	9520.78	1.9154,0.496,0.9688,0.6713,0.7767,6.2835,1.9733,1.4164
our_model	Round_1_Replicate_2	-13965.11	27946.22	5487.4	5738.92	3.2032,0.7583,1.7447,0.4927,0.38,3.9126,3.9857,2.4819
our_model	Round_1_Replicate_3	-11642.89	23301.78	915.39	19505.65	1.5097,0.577,0.6497,0.5698,2.2342,4.1707,0.1392,0.0459
our_model	Round_1_Replicate_4	-13955.53	27927.06	5440.22	9533.2	1.9185,0.4842,0.9937,0.7199,0.7251,6.3607,1.9519,1.4465
our_model	Round_1_Replicate_5	-11232.95	22481.9	108.9	20306.41	1.4121,0.4796,0.8121,0.4147,1.2928,4.0862,0.1001,0.0513
our_model	Round_1_Replicate_6	-11660.22	23336.44	949.52	18984.74	1.5985,0.6218,0.7327,0.6554,2.0969,3.0611,0.15,0.0452
our_model	Round_1_Replicate_7	-13954.28	27924.56	5447.06	8127.54	2.252,0.5527,1.2015,0.6644,0.5654,5.4437,2.4791,1.7284
our_model	Round_1_Replicate_8	-11443.76	22903.52	518.6	20586.06	1.3963,0.4056,0.6956,0.8305,0.8446,6.1836,0.0797,0.0676
our_model	Round_1_Replicate_9	-13957.1	27930.2	5441.73	9451.34	1.9328,0.4898,0.9981,0.7101,0.7271,6.292,1.9935,1.4463
our_model	Round_1_Replicate_10	-13929.04	27874.08	5381.56	11714.46	1.5671,0.3902,0.8296,0.9425,0.8342,7.7759,1.3722,1.1585
our_model	Round_2_Replicate_1	-11199.24	22414.48	41.31	20031.16	1.4923,0.461,0.8885,0.4372,0.8694,5.1068,0.0874,0.0617
our_model	Round_2_Replicate_2	-11188.99	22393.98	21.46	20086.15	1.4946,0.4711,1.031,0.5558,0.8671,3.8062,0.0932,0.0539
our_model	Round_2_Replicate_3	-11261.98	22539.96	167.71	20174.79	1.4943,0.4166,0.8942,0.5252,0.6166,6.2217,0.0725,0.0699
our_model	Round_2_Replicate_4	-11198.21	22412.42	40.54	20075.12	1.5115,0.5212,1.1743,0.5519,0.9914,0.5665,0.105,0.0413
our_model	Round_2_Replicate_5	-11178.98	22373.96	1.4	19929.0	1.5113,0.5072,0.9959,0.4884,1.0088,2.9384,0.1013,0.0501
our_model	Round_2_Replicate_6	-11182.18	22380.36	7.76	20042.38	1.4879,0.4796,0.9623,0.5034,0.9424,3.9509,0.0949,0.0546
our_model	Round_2_Replicate_7	-11234.26	22484.52	114.22	20143.59	1.5258,0.4423,1.0066,0.4979,0.6241,4.8568,0.0818,0.0598
our_model	Round_2_Replicate_8	-11210.81	22437.62	65.99	20038.69	1.493,0.5434,1.0305,0.5254,1.2574,0.01,0.1114,0.0393
our_model	Round_2_Replicate_9	-11225.37	22466.74	93.71	20131.08	1.4696,0.4382,0.9086,0.4863,0.7105,5.686,0.0801,0.0655
our_model	Round_2_Replicate_10	-11285.44	22586.88	213.18	20134.73	1.5184,0.4103,0.8158,0.3867,0.6451,6.8077,0.0691,0.0747
our_model	Round_2_Replicate_11	-11224.79	22465.58	94.84	20130.12	1.5042,0.4528,1.0303,0.5113,0.645,4.6492,0.0841,0.0581
our_model	Round_2_Replicate_12	-11278.89	22573.78	199.14	19672.79	1.5233,0.5813,0.9513,0.6115,1.5894,0.01,0.1252,0.0389
our_model	Round_2_Replicate_13	-11230.06	22476.12	103.19	20167.45	1.4992,0.4317,0.8819,0.4389,0.7308,5.8011,0.0786,0.0654
our_model	Round_2_Replicate_14	-11182.14	22380.28	7.72	20029.49	1.4906,0.4859,1.0025,0.5072,0.9105,3.5926,0.095,0.0532
our_model	Round_2_Replicate_15	-11182.4	22380.8	8.19	20061.31	1.4847,0.4804,0.9389,0.4888,0.9841,4.046,0.0953,0.0543
our_model	Round_2_Replicate_16	-11182.72	22381.44	8.87	20010.08	1.5027,0.4827,0.9781,0.4786,0.9088,3.8608,0.0942,0.0544
our_model	Round_2_Replicate_17	-11229.86	22475.72	101.61	20050.68	1.5062,0.433,0.8656,0.5032,0.8043,6.1022,0.0796,0.0687
our_model	Round_2_Replicate_18	-11180.37	22376.74	4.19	19940.56	1.5121,0.5157,1.0119,0.4845,1.0428,2.4076,0.1032,0.0478
our_model	Round_2_Replicate_19	-11244.07	22504.14	132.76	20281.93	1.4953,0.4219,0.929,0.489,0.655,5.6705,0.0771,0.0633
our_model	Round_2_Replicate_20	-11179.46	22374.92	2.35	19976.05	1.5031,0.4926,0.9766,0.4838,0.9741,3.5296,0.0978,0.0527
